"MSA","SIC","EMPFLAG","EMP","QP1","AP","EST","N1_4","N5_9","N10_19","N20_49","N50_99","N100_249","N250_499","N500_999","N1000"
"0040","----",,47126,217174,934764,3555,1891,731,453,312,109,46,7,4,2
"0040","07--",,262,877,4214,58,38,12,7,1,0,0,0,0,0
"0040","0700","C",0,0,0,57,38,12,7,0,0,0,0,0,0
"0040","098\","B",0,0,0,1,0,0,0,1,0,0,0,0,0
"0040","10--",,1649,11073,45693,154,101,30,10,5,4,3,1,0,0
"0040","1300",,1516,9905,40867,148,100,28,9,4,3,3,1,0,0
"0040","1400","B",0,0,0,4,1,1,1,1,0,0,0,0,0
"0040","149\","B",0,0,0,2,0,1,0,0,1,0,0,0,0
"0040","15--",,2570,12873,62502,263,162,40,27,23,8,2,1,0,0
"0040","1500","E",0,0,0,62,48,7,2,4,1,0,0,0,0
"0040","1600",,756,3372,19922,19,8,3,1,3,1,2,1,0,0
"0040","1700",,1496,7328,33588,181,105,30,24,16,6,0,0,0,0
"0040","179\","A",0,0,0,1,1,0,0,0,0,0,0,0,0
"0040","20--",,3339,21774,92469,117,43,21,24,10,7,11,1,0,0
"0040","2000",,842,5710,26478,13,4,2,1,2,0,3,1,0,0
"0040","2300",,198,580,2564,4,0,1,1,1,0,1,0,0,0
"0040","2400","B",0,0,0,3,0,1,1,0,1,0,0,0,0
"0040","2500","A",0,0,0,2,1,0,1,0,0,0,0,0,0
"0040","2700",,427,3252,13378,22,7,5,4,4,1,1,0,0,0
"0040","2800",,10,42,166,3,3,0,0,0,0,0,0,0,0
"0040","2900","C",0,0,0,4,2,1,0,0,0,1,0,0,0
"0040","3000","C",0,0,0,3,1,0,1,0,1,0,0,0,0
"0040","3100",,10,31,130,3,2,1,0,0,0,0,0,0,0
"0040","3200",,81,449,2185,6,1,3,0,2,0,0,0,0,0
"0040","3400",,733,4668,19201,14,5,2,2,0,2,3,0,0,0
"0040","3500",,500,3262,13508,24,11,3,7,0,1,2,0,0,0
"0040","3600","A",0,0,0,1,0,0,1,0,0,0,0,0,0
"0040","3700","B",0,0,0,2,0,0,1,1,0,0,0,0,0
"0040","3800","B",0,0,0,4,1,1,2,0,0,0,0,0,0
"0040","3900",,109,474,1713,9,5,1,2,0,1,0,0,0,0
"0040","40--",,2202,15025,61793,160,87,18,18,25,11,1,0,0,0
"0040","4100",,112,416,1784,6,2,0,1,3,0,0,0,0,0
"0040","4200",,605,3889,14023,74,42,13,10,8,1,0,0,0,0
"0040","4500",,115,684,2833,8,3,1,2,2,0,0,0,0,0
"0040","4700","C",0,0,0,14,11,2,0,0,1,0,0,0,0
"0040","4800",,728,4822,21374,38,18,2,3,10,5,0,0,0,0
"0040","4900",,464,4063,17126,19,11,0,2,2,3,1,0,0,0
"0040","497\","B",0,0,0,1,0,0,0,0,1,0,0,0,0
"0040","50--",,2326,14263,61900,261,125,63,43,23,7,0,0,0,0
"0040","5000",,1328,8202,35758,171,86,44,25,14,2,0,0,0,0
"0040","5100","F",0,0,0,88,39,18,18,9,4,0,0,0,0
"0040","519\","B",0,0,0,2,0,1,0,0,1,0,0,0,0
"0040","52--",,12054,37341,154805,871,365,237,119,105,30,13,1,1,0
"0040","5200",,548,2081,8601,33,15,7,8,0,2,1,0,0,0
"0040","5300",,1803,5358,22374,23,8,3,0,2,3,6,0,1,0
"0040","5400",,1185,4440,16935,92,44,29,8,6,4,0,1,0,0
"0040","5500",,1361,8093,34975,145,77,43,12,10,0,3,0,0,0
"0040","5600",,457,1015,4191,57,22,18,13,4,0,0,0,0,0
"0040","5700",,431,1853,7699,63,27,26,6,3,1,0,0,0,0
"0040","5800",,4851,9083,37937,235,51,46,46,71,19,2,0,0,0
"0040","5900",,1248,4474,18535,212,117,63,25,6,0,1,0,0,0
"0040","599\",,170,944,3558,11,4,2,1,3,1,0,0,0,0
"0040","60--",,2445,14008,63615,354,248,53,27,19,5,2,0,0,0
"0040","6000",,762,4515,19135,48,15,12,10,9,1,1,0,0,0
"0040","6100",,173,948,3797,29,20,6,2,0,1,0,0,0,0
"0040","6200",,109,1246,4606,19,13,4,1,1,0,0,0,0,0
"0040","6300",,425,2367,12984,29,18,3,3,3,1,1,0,0,0
"0040","6400",,371,2206,11886,79,64,7,4,3,1,0,0,0,0
"0040","6500",,521,1962,7847,127,99,19,6,2,1,0,0,0,0
"0040","6700",,84,764,3360,23,19,2,1,1,0,0,0,0,0
"0040","70--",,20260,89919,387549,1300,706,256,178,101,37,14,3,3,2
"0040","7000",,498,1005,4317,31,12,5,5,6,2,1,0,0,0
"0040","7200",,623,1898,7165,90,50,19,14,5,2,0,0,0,0
"0040","7300",,3156,10338,45149,165,90,23,32,7,6,5,1,1,0
"0040","7500",,628,3187,12330,116,66,37,7,6,0,0,0,0,0
"0040","7600",,539,3154,14151,46,30,7,3,4,1,1,0,0,0
"0040","7800",,239,434,1795,18,6,2,7,2,1,0,0,0,0
"0040","7900",,558,1264,6558,59,35,6,10,5,3,0,0,0,0
"0040","8000",,8196,48345,208749,310,159,68,34,26,14,5,1,2,1
"0040","8100",,249,1552,6994,74,59,11,3,1,0,0,0,0,0
"0040","8200",,2144,7094,28933,15,5,1,1,5,1,0,1,0,1
"0040","8300",,1085,2912,12257,73,25,12,23,8,4,1,0,0,0
"0040","8400",,28,88,348,5,4,0,1,0,0,0,0,0,0
"0040","8600",,1578,3851,16018,170,88,36,23,20,2,1,0,0,0
"0040","8700",,642,4244,20406,115,71,26,13,4,1,0,0,0,0
"0040","8900",,22,144,648,7,5,2,0,0,0,0,0,0,0
"0040","899\",,75,409,1731,6,1,1,2,2,0,0,0,0,0
"0040","99--",,19,21,224,17,16,1,0,0,0,0,0,0,0
"0080","----",,283295,1979649,8049170,17443,8587,3739,2466,1622,568,355,67,25,14
"0080","07--",,1783,6916,43052,373,272,55,29,14,1,2,0,0,0
"0080","0700",,1617,5529,36969,370,270,55,29,14,1,1,0,0,0
"0080","0800","A",0,0,0,2,2,0,0,0,0,0,0,0,0
"0080","098\","C",0,0,0,1,0,0,0,0,0,1,0,0,0
"0080","10--",,327,2343,12206,59,35,12,10,2,0,0,0,0,0
"0080","1000","A",0,0,0,1,1,0,0,0,0,0,0,0,0
"0080","1300",,155,1228,5669,29,20,5,2,2,0,0,0,0,0
"0080","1400","C",0,0,0,29,14,7,8,0,0,0,0,0,0
"0080","15--",,12840,88528,455130,1674,1025,319,196,105,19,8,1,1,0
"0080","1500","H",0,0,0,461,331,62,42,20,5,1,0,0,0
"0080","1600",,1662,16703,108849,79,31,18,17,9,1,2,0,1,0
"0080","1700",,8611,54990,267013,1133,663,238,137,76,13,5,1,0,0
"0080","179\","A",0,0,0,1,0,1,0,0,0,0,0,0,0
"0080","20--",,66928,726383,2662730,1427,372,237,249,269,155,113,17,11,4
