MSA	45 to 54 years
Abilene, TX	13.3
Akron, OH	15.7
Albany, GA	14.0
Albany-Schenectady-Troy, NY	15.2
Albuquerque, NM	14.3
Alexandria, LA	14.2
Allentown-Bethlehem-Easton, PA-NJ	15.7
Altoona, PA	15.2
Amarillo, TX	13.6
Ames, IA	10.5
Anchorage, AK	15.9
Anderson, IN	14.1
Anderson, SC	14.4
Ann Arbor, MI	13.7
Anniston-Oxford, AL	14.6
Appleton, WI	15.9
Asheville, NC	14.3
Athens-Clarke County, GA	11.5
Atlanta-Sandy Springs-Marietta, GA	14.8
Atlantic City-Hammonton, NJ	15.6
Auburn-Opelika, AL	12.3
Augusta-Richmond County, GA-SC	14.9
Austin-Round Rock, TX	13.5
Bakersfield, CA	12.3
Baltimore-Towson, MD	15.6
Bangor, ME	16.1
Barnstable Town, MA	15.1
Baton Rouge, LA	14.0
Battle Creek, MI	14.7
Bay City, MI	15.8
Beaumont-Port Arthur, TX	14.9
Bellingham, WA	13.5
Bend, OR	14.5
Billings, MT	15.6
Binghamton, NY	15.3
Birmingham-Hoover, AL	14.9
Bismarck, ND	14.7
Blacksburg-Christiansburg-Radford, VA	11.1
Bloomington, IN	12.2
Bloomington-Normal, IL	13.0
Boise City-Nampa, ID	13.4
Boston-Cambridge-Quincy, MA-NH	15.7
Boulder, CO	16.2
Bowling Green, KY	13.5
Bradenton-Sarasota-Venice, FL	13.1
Bremerton-Silverdale, WA	15.8
Bridgeport-Stamford-Norwalk, CT	16.5
Brownsville-Harlingen, TX	10.8
Brunswick, GA	14.4
Buffalo-Niagara Falls, NY	15.8
Burlington, NC	14.1
Burlington-South Burlington, VT	16.7
Canton-Massillon, OH	15.7
Cape Coral-Fort Myers, FL	12.6
Carson City, NV	14.0
Casper, WY	15.3
Cedar Rapids, IA	14.7
Champaign-Urbana, IL	11.7
Charleston, WV	15.9
Charleston-North Charleston-Summerville, SC	14.5
Charlotte-Gastonia-Concord, NC-SC	14.5
Charlottesville, VA	13.6
Chattanooga, TN-GA	14.9
Cheyenne, WY	14.8
Chicago-Naperville-Joliet, IL-IN-WI	14.7
Chico, CA	12.7
Cincinnati-Middletown, OH-KY-IN	15.4
Clarksville, TN-KY	13.0
Cleveland, TN	14.1
Cleveland-Elyria-Mentor, OH	16.1
Coeur d'Alene, ID	14.1
College Station-Bryan, TX	9.9
Colorado Springs, CO	15.2
Columbia, MO	12.9
Columbia, SC	14.8
Columbus, GA-AL	14.1
Columbus, IN	14.7
Columbus, OH	14.6
Corpus Christi, TX	14.3
Corvallis, OR	13.7
Cumberland, MD-WV	13.8
Dallas-Fort Worth-Arlington, TX	14.1
Dalton, GA	13.5
Danville, IL	14.0
Danville, VA	15.1
Davenport-Moline-Rock Island, IA-IL	15.0
Dayton, OH	15.0
Decatur, AL	15.1
Decatur, IL	14.8
Deltona-Daytona Beach-Ormond Beach, FL	13.9
Denver-Aurora, CO	15.2
Des Moines-West Des Moines, IA	14.5
Detroit-Warren-Livonia, MI	16.0
Dothan, AL	14.3
Dover, DE	13.9
Dubuque, IA	14.7
Duluth, MN-WI	15.7
Durham, NC	14.0
Eau Claire, WI	14.0
El Centro, CA	12.0
Elizabethtown, KY	15.6
Elkhart-Goshen, IN	13.7
Elmira, NY	15.2
El Paso, TX	12.8
Erie, PA	15.1
Eugene-Springfield, OR	14.4
Evansville, IN-KY	15.6
Fairbanks, AK	13.5
Fargo, ND-MN	13.2
Farmington, NM	14.3
Fayetteville, NC	13.9
Fayetteville-Springdale-Rogers, AR-MO	12.8
Flagstaff, AZ	14.6
Flint, MI	15.2
Florence, SC	14.6
Florence-Muscle Shoals, AL	14.5
Fond du Lac, WI	15.6
Fort Collins-Loveland, CO	14.8
Fort Smith, AR-OK	14.1
Fort Walton Beach-Crestview-Destin, FL	15.7
Fort Wayne, IN	14.9
Fresno, CA	12.2
Gadsden, AL	14.0
Gainesville, FL	12.1
Gainesville, GA	12.3
Glens Falls, NY	15.2
Goldsboro, NC	15.0
Grand Forks, ND-MN	13.6
Grand Junction, CO	13.8
Grand Rapids-Wyoming, MI	14.9
Great Falls, MT	15.5
Greeley, CO	12.8
Green Bay, WI	15.6
Greensboro-High Point, NC	14.7
Greenville, NC	13.0
Greenville-Mauldin-Easley, SC	14.3
Gulfport-Biloxi, MS	15.3
Hagerstown-Martinsburg, MD-WV	14.4
Hanford-Corcoran, CA	11.6
Harrisburg-Carlisle, PA	15.7
Harrisonburg, VA	12.5
Hartford-West Hartford-East Hartford, CT	15.9
Hattiesburg, MS	12.6
Hickory-Lenoir-Morganton, NC	14.6
Hinesville-Fort Stewart, GA	12.0
Holland-Grand Haven, MI	14.3
Honolulu, HI	13.6
Hot Springs, AR	13.3
Houma-Bayou Cane-Thibodaux, LA	14.6
Houston-Sugar Land-Baytown, TX	14.4
Huntington-Ashland, WV-KY-OH	14.4
Huntsville, AL	15.3
Idaho Falls, ID	13.4
Indianapolis-Carmel, IN	15.0
Iowa City, IA	12.5
