MSA	0-24 years
Abilene, TX	37.5
Akron, OH	33.1
Albany, GA	36.9
Albany-Schenectady-Troy, NY	32.3
Albuquerque, NM	34.7
Alexandria, LA	34.6
Allentown-Bethlehem-Easton, PA-NJ	31.6
Altoona, PA	29.5
Amarillo, TX	37.3
Ames, IA	46.2
Anchorage, AK	36.4
Anderson, IN	31.0
Anderson, SC	31.8
Ann Arbor, MI	38.1
Anniston-Oxford, AL	33.2
Appleton, WI	33.8
Asheville, NC	29.0
Athens-Clarke County, GA	41.6
Atlanta-Sandy Springs-Marietta, GA	35.6
Atlantic City-Hammonton, NJ	32.4
Auburn-Opelika, AL	43.6
Augusta-Richmond County, GA-SC	35.4
Austin-Round Rock, TX	37.4
Bakersfield, CA	40.8
Baltimore-Towson, MD	33.4
Bangor, ME	31.8
Barnstable Town, MA	24.8
Baton Rouge, LA	37.6
Battle Creek, MI	33.2
Bay City, MI	30.7
Beaumont-Port Arthur, TX	34.1
Bellingham, WA	35.2
Bend, OR	29.9
Billings, MT	32.5
Binghamton, NY	32.3
Birmingham-Hoover, AL	33.3
Bismarck, ND	33.6
Blacksburg-Christiansburg-Radford, VA	41.3
Bloomington, IN	39.2
Bloomington-Normal, IL	40.8
Boise City-Nampa, ID	36.3
Boston-Cambridge-Quincy, MA-NH	32.2
Boulder, CO	34.3
Bowling Green, KY	36.2
Bradenton-Sarasota-Venice, FL	24.8
Bremerton-Silverdale, WA	32.4
Bridgeport-Stamford-Norwalk, CT	33.4
Brownsville-Harlingen, TX	44.6
Brunswick, GA	33.3
Buffalo-Niagara Falls, NY	32.2
Burlington, NC	33.8
Burlington-South Burlington, VT	33.6
Canton-Massillon, OH	31.2
Cape Coral-Fort Myers, FL	27.5
Carson City, NV	31.1
Casper, WY	34.1
Cedar Rapids, IA	33.5
Champaign-Urbana, IL	42.5
Charleston, WV	29.1
Charleston-North Charleston-Summerville, SC	35.1
Charlotte-Gastonia-Concord, NC-SC	35.0
Charlottesville, VA	34.9
Chattanooga, TN-GA	31.7
Cheyenne, WY	34.4
Chicago-Naperville-Joliet, IL-IN-WI	35.4
Chico, CA	36.1
Cincinnati-Middletown, OH-KY-IN	34.4
Clarksville, TN-KY	39.0
Cleveland, TN	31.8
Cleveland-Elyria-Mentor, OH	32.0
Coeur d'Alene, ID	32.9
College Station-Bryan, TX	48.2
Colorado Springs, CO	35.4
Columbia, MO	40.1
Columbia, SC	35.4
Columbus, GA-AL	36.9
Columbus, IN	32.7
Columbus, OH	35.3
Corpus Christi, TX	36.9
Corvallis, OR	38.3
Cumberland, MD-WV	30.6
Dallas-Fort Worth-Arlington, TX	36.9
Dalton, GA	37.0
Danville, IL	32.1
Danville, VA	29.2
Davenport-Moline-Rock Island, IA-IL	33.2
Dayton, OH	33.3
Decatur, AL	31.6
Decatur, IL	33.0
Deltona-Daytona Beach-Ormond Beach, FL	28.4
Denver-Aurora, CO	33.7
Des Moines-West Des Moines, IA	34.7
Detroit-Warren-Livonia, MI	33.1
Dothan, AL	32.0
Dover, DE	35.3
Dubuque, IA	34.7
Duluth, MN-WI	32.4
Durham, NC	35.1
Eau Claire, WI	35.4
El Centro, CA	41.8
Elizabethtown, KY	35.2
Elkhart-Goshen, IN	36.1
Elmira, NY	31.5
El Paso, TX	42.3
Erie, PA	34.1
Eugene-Springfield, OR	31.4
Evansville, IN-KY	32.8
Fairbanks, AK	40.6
Fargo, ND-MN	38.3
Farmington, NM	38.1
Fayetteville, NC	40.0
Fayetteville-Springdale-Rogers, AR-MO	37.3
Flagstaff, AZ	40.2
Flint, MI	33.7
Florence, SC	33.8
Florence-Muscle Shoals, AL	31.1
Fond du Lac, WI	31.9
Fort Collins-Loveland, CO	34.8
Fort Smith, AR-OK	33.9
Fort Walton Beach-Crestview-Destin, FL	32.3
Fort Wayne, IN	35.1
Fresno, CA	41.2
Gadsden, AL	31.2
Gainesville, FL	41.0
Gainesville, GA	37.1
Glens Falls, NY	29.2
Goldsboro, NC	34.8
Grand Forks, ND-MN	40.2
Grand Junction, CO	32.2
Grand Rapids-Wyoming, MI	35.9
Great Falls, MT	32.6
Greeley, CO	38.6
Green Bay, WI	33.3
Greensboro-High Point, NC	33.0
Greenville, NC	39.1
Greenville-Mauldin-Easley, SC	33.8
Gulfport-Biloxi, MS	35.5
Hagerstown-Martinsburg, MD-WV	31.4
Hanford-Corcoran, CA	39.3
Harrisburg-Carlisle, PA	31.1
Harrisonburg, VA	39.9
Hartford-West Hartford-East Hartford, CT	32.3
Hattiesburg, MS	40.0
Hickory-Lenoir-Morganton, NC	30.6
Hinesville-Fort Stewart, GA	44.8
Holland-Grand Haven, MI	37.9
Honolulu, HI	32.2
Hot Springs, AR	28.8
Houma-Bayou Cane-Thibodaux, LA	35.2
Houston-Sugar Land-Baytown, TX	37.6
Huntington-Ashland, WV-KY-OH	30.8
Huntsville, AL	34.0
Idaho Falls, ID	39.7
Indianapolis-Carmel, IN	34.9
Iowa City, IA	40.4
Ithaca, NY	43.1
Jackson, MI	32.2
Jackson, MS	37.2
Jackson, TN	35.1
Jacksonville, FL	33.4
Jacksonville, NC	48.5
Janesville, WI	33.0
Jefferson City, MO	33.2
Johnson City, TN	29.8
Johnstown, PA	29.1
Jonesboro, AR	35.5
Joplin, MO	34.5
Kalamazoo-Portage, MI	36.7
Kankakee-Bradley, IL	35.7
Kansas City, MO-KS	34.1
Kennewick-Pasco-Richland, WA	37.7
Killeen-Temple-Fort Hood, TX	40.6
Kingsport-Bristol-Bristol, TN-VA	27.7
Kingston, NY	31.1
Knoxville, TN	31.7
Kokomo, IN	31.1
La Crosse, WI-MN	35.4
Lafayette, IN	42.5
Lafayette, LA	36.9
Lake Charles, LA	35.4
Lake Havasu City-Kingman, AZ	28.6
Lakeland-Winter Haven, FL	32.5
Lancaster, PA	33.6
