MSA	College Degree
Akron, OH	27.7
Albany, GA	17.9
Albany-Schenectady-Troy, NY	31.6
Albuquerque, NM	29.2
Alexandria, LA	17.7
Allentown-Bethlehem-Easton, PA-NJ	25.1
Altoona, PA	16.7
Amarillo, TX	21.6
Ames, IA	47.6
Anchorage, AK	29.1
Anderson, IN	16.2
Anderson, SC	17.3
Ann Arbor, MI	51.4
Anniston-Oxford, AL	17.0
Appleton, WI	24.7
Asheville, NC	27.2
Athens-Clarke County, GA	33.7
Atlanta-Sandy Springs-Marietta, GA	33.5
Atlantic City-Hammonton, NJ	22.8
Auburn-Opelika, AL	30.8
Augusta-Richmond County, GA-SC	22.1
Austin-Round Rock, TX	38.2
Bakersfield, CA	14.4
Baltimore-Towson, MD	33.0
Bangor, ME	22.9
Barnstable Town, MA	38.5
Baton Rouge, LA	24.4
Battle Creek, MI	18.4
Bay City, MI	16.9
Beaumont-Port Arthur, TX	16.0
Bellingham, WA	31.5
Bend, OR	28.2
Billings, MT	27.3
Binghamton, NY	23.9
Birmingham-Hoover, AL	25.6
Bismarck, ND	28.7
Blacksburg-Christiansburg-Radford, VA	29.0
Bloomington, IN	29.6
Bloomington-Normal, IL	39.5
Boise City-Nampa, ID	27.8
Boston-Cambridge-Quincy, MA-NH	40.8
Boulder, CO	55.7
Bowling Green, KY	26.2
Bradenton-Sarasota-Venice, FL	27.5
Bremerton-Silverdale, WA	27.6
Bridgeport-Stamford-Norwalk, CT	42.6
Brownsville-Harlingen, TX	14.5
Brunswick, GA	22.0
Buffalo-Niagara Falls, NY	26.1
Burlington, NC	19.8
Burlington-South Burlington, VT	38.4
Canton-Massillon, OH	19.3
Cape Coral-Fort Myers, FL	24.1
Carson City, NV	20.6
Casper, WY	19.7
Cedar Rapids, IA	26.1
Champaign-Urbana, IL	38.7
Charleston, WV	19.7
Charleston-North Charleston-Summerville, SC	28.6
Charlotte-Gastonia-Concord, NC-SC	31.2
Charlottesville, VA	41.5
Chattanooga, TN-GA	21.1
Cheyenne, WY	22.6
Chicago-Naperville-Joliet, IL-IN-WI	31.8
Chico, CA	24.4
Cincinnati-Middletown, OH-KY-IN	27.1
Clarksville, TN-KY	19.5
Cleveland, TN	18.1
Cleveland-Elyria-Mentor, OH	26.3
Coeur d'Alene, ID	20.5
College Station-Bryan, TX	34.4
Colorado Springs, CO	33.7
Columbia, MO	44.7
Columbia, SC	29.4
Columbus, GA-AL	20.5
Columbus, IN	25.7
Columbus, OH	31.8
Corpus Christi, TX	18.8
Corvallis, OR	48.0
Cumberland, MD-WV	14.3
Dallas-Fort Worth-Arlington, TX	29.5
Dalton, GA	11.6
Danville, IL	12.5
Danville, VA	13.4
Davenport-Moline-Rock Island, IA-IL	23.7
Dayton, OH	24.4
Decatur, AL	16.9
Decatur, IL	20.0
Deltona-Daytona Beach-Ormond Beach, FL	20.0
Denver-Aurora, CO	36.0
Des Moines-West Des Moines, IA	31.5
Detroit-Warren-Livonia, MI	26.1
Dothan, AL	17.1
Dover, DE	18.5
Dubuque, IA	25.3
Duluth, MN-WI	23.4
Durham, NC	41.1
Eau Claire, WI	24.1
El Centro, CA	10.4
Elizabethtown, KY	18.3
Elkhart-Goshen, IN	16.8
Elmira, NY	21.0
El Paso, TX	18.0
Erie, PA	23.0
Eugene-Springfield, OR	27.6
Evansville, IN-KY	19.4
Fairbanks, AK	26.9
Fargo, ND-MN	33.9
Farmington, NM	13.4
Fayetteville, NC	20.4
Fayetteville-Springdale-Rogers, AR-MO	24.7
Flagstaff, AZ	32.4
Flint, MI	18.8
Florence, SC	19.4
