MSA	2008	2007	2006	2005	2004	2003	2002	2001	2000
Abilene, TX	1,415.2	1,368.1	1,354.0	1,228.3	1,175.3	1,098.1	1,065.1	1,066.7	942.4
Akron, OH	4,470.1	4,628.4	4,121.3	4,075.0	4,013.6	3,705.6	3,424.4	3,190.7	2,970.1
Albany, GA	1,508.7	1,257.2	1,250.0	1,347.2	1,090.9	1,141.8	1,048.2	981.7	926.0
Albany-Schenectady-Troy, NY	13,206.6	11,591.5	10,245.2	10,528.9	10,818.6	13,953.9	12,650.0	9,005.2	8,589.9
Albuquerque, NM	9,441.4	9,496.5	8,523.8	8,447.5	8,140.4	7,472.5	6,902.8	6,366.6	5,729.3
Alexandria, LA	1,346.7	1,270.9	1,280.8	1,202.7	1,082.3	1,091.6	990.5	936.1	818.6
Allentown-Bethlehem-Easton, PA-NJ	5,214.0	5,282.1	4,572.4	4,400.6	4,085.2	3,722.0	3,791.3	3,454.8	3,147.7
Altoona, PA	1,100.5	1,068.4	965.3	934.9	867.3	824.8	783.2	747.7	718.6
Amarillo, TX	4,704.5	3,948.6	2,566.0	1,807.0	2,344.6	1,468.1	1,538.1	1,179.0	1,866.4
Ames, IA	590.0	653.1	752.2	543.8	607.5	488.6	467.3	440.6	362.6
Anchorage, AK	4,313.1	4,306.8	4,097.6	3,790.1	3,244.4	3,379.0	3,199.0	2,809.0	2,443.6
Anderson, IN	945.6	866.9	899.1	888.2	747.6	710.0	694.9	677.4	608.8
Anderson, SC	993.4	988.2	908.9	853.6	801.1	770.0	737.6	707.4	631.7
Ann Arbor, MI	2,996.3	2,375.5	2,194.7	2,106.2	2,042.4	1,943.9	1,794.1	1,667.5	1,558.7
Anniston-Oxford, AL	1,628.0	1,647.7	1,307.8	1,312.3	1,111.2	1,071.0	980.8	938.3	919.5
Appleton, WI	991.3	925.3	864.9	810.1	752.2	746.2	668.4	611.2	552.1
Asheville, NC	3,206.3	2,912.0	2,763.3	2,635.4	2,448.7	2,242.9	2,149.2	2,036.8	1,864.0
Athens-Clarke County, GA	2,069.8	1,033.3	964.5	935.2	913.6	870.5	831.9	748.5	681.8
Atlanta-Sandy Springs-Marietta, GA	31,670.7	34,959.6	28,703.4	25,919.3	23,059.1	21,495.8	23,225.7	21,893.8	18,732.6
Atlantic City-Hammonton, NJ	2,391.0	1,944.1	1,916.6	1,839.7	1,783.0	1,601.4	1,721.1	1,408.4	1,361.5
Auburn-Opelika, AL	572.8	678.0	641.7	552.1	504.3	461.3	430.1	401.7	365.6
Augusta-Richmond County, GA-SC	5,866.3	5,992.7	5,746.5	5,309.2	5,393.5	4,863.6	4,684.7	4,519.2	4,140.7
Austin-Round Rock, TX	12,309.0	11,590.6	12,353.8	10,341.5	10,115.8	9,516.7	9,298.3	8,492.1	6,731.6
Bakersfield, CA	5,554.5	4,643.4	4,890.4	4,415.5	4,154.4	3,856.0	3,749.8	3,748.2	3,562.6
Baltimore-Towson, MD	32,444.3	28,252.9	26,487.3	25,030.8	24,733.0	22,638.7	19,681.4	19,616.3	18,779.0
Bangor, ME	1,354.6	1,175.7	1,103.4	1,074.6	1,019.7	963.2	908.2	864.3	795.9
Barnstable Town, MA	2,243.5	2,180.4	2,023.3	1,978.6	1,902.3	1,767.5	1,621.2	1,561.0	1,503.2
Baton Rouge, LA	9,583.7	11,623.0	20,781.2	8,194.7	4,540.0	4,459.7	4,486.1	4,000.4	3,438.3
Battle Creek, MI	1,340.7	1,156.3	1,198.8	1,106.4	1,026.5	971.2	918.5	852.3	800.1
Bay City, MI	787.4	671.3	653.6	618.0	573.3	582.9	541.1	507.5	476.9
Beaumont-Port Arthur, TX	2,999.0	2,754.7	2,908.8	2,612.7	3,120.5	2,342.2	2,169.9	2,255.2	2,035.9
Bellingham, WA	2,258.4	1,749.0	1,536.6	1,487.4	1,167.2	878.8	821.6	905.3	811.9
Bend, OR	754.5	774.3	681.6	611.7	581.2	532.1	495.3	482.0	412.1
Billings, MT	988.7	967.2	944.1	883.4	804.6	781.2	775.2	738.5	671.0
Binghamton, NY	2,664.9	2,805.5	2,976.1	2,552.3	1,995.8	1,889.8	1,691.7	1,593.9	1,669.3
Birmingham-Hoover, AL	8,371.1	8,366.6	7,485.1	7,059.3	6,709.4	6,440.5	5,964.0	5,747.9	5,277.7
Bismarck, ND	949.6	1,013.2	907.5	891.9	866.2	789.4	778.0	779.4	689.4
Blacksburg-Christiansburg-Radford, VA	1,181.8	995.4	940.1	961.0	862.1	789.5	792.4	747.7	626.7
Bloomington, IN	1,223.8	1,127.1	1,085.3	1,041.9	958.1	871.6	825.4	793.3	766.6
Bloomington-Normal, IL	695.0	761.8	664.9	591.7	552.7	529.3	603.3	552.4	435.5
Boise City-Nampa, ID	3,310.6	3,251.0	2,981.3	2,844.4	2,675.6	2,542.5	2,494.2	2,245.5	2,037.6
Boston-Cambridge-Quincy, MA-NH	50,008.7	43,231.5	40,190.6	39,049.4	36,792.6	35,269.1	32,281.3	30,526.9	28,586.7
Boulder, CO	2,257.9	2,101.2	2,072.7	2,015.8	1,940.2	1,864.1	1,732.4	1,569.6	1,499.2
Bowling Green, KY	809.0	634.0	610.4	565.4	526.4	539.2	625.4	576.6	446.0
Bradenton-Sarasota-Venice, FL	5,397.2	5,275.1	4,801.7	4,548.8	4,222.5	3,999.2	3,738.1	3,616.0	3,307.2
Bremerton-Silverdale, WA	3,190.9	3,450.4	3,285.6	2,870.2	2,917.5	2,809.5	2,430.6	2,341.9	2,366.8
Bridgeport-Stamford-Norwalk, CT	11,336.4	6,774.4	7,257.5	6,777.6	6,729.2	5,777.6	5,180.9	5,294.9	4,483.6
Brownsville-Harlingen, TX	2,574.6	2,029.8	2,034.8	1,899.8	1,793.3	1,665.3	1,585.3	1,472.3	1,354.5
Brunswick, GA	991.7	992.7	955.1	885.2	811.4	681.7	694.6	605.4	593.5
Buffalo-Niagara Falls, NY	9,594.8	8,819.5	8,556.8	8,320.2	7,764.0	7,531.8	7,005.2	6,691.8	6,472.4
Burlington, NC	819.5	773.6	749.3	670.1	639.4	584.6	551.1	527.7	481.3
Burlington-South Burlington, VT	1,928.9	2,161.1	2,074.8	1,643.4	1,539.9	1,538.3	1,332.1	1,240.5	1,134.7
Canton-Massillon, OH	2,539.1	2,698.7	2,322.5	2,437.6	2,124.5	1,994.1	1,861.4	1,787.1	1,676.7
Cape Coral-Fort Myers, FL	3,591.4	3,571.9	3,359.9	3,172.4	2,866.4	2,615.3	2,470.1	2,334.7	2,167.5
Carson City, NV	807.6	739.3	664.4	714.7	671.2	648.5	611.4	559.1	489.6
Casper, WY	432.5	434.2	397.2	372.0	356.0	351.1	318.0	303.9	317.2
Cedar Rapids, IA	2,383.7	2,305.1	2,115.2	1,899.7	1,716.0	1,458.0	1,405.6	1,383.3	1,474.9
Champaign-Urbana, IL	1,400.4	1,384.7	1,258.3	1,196.4	1,138.0	1,081.0	1,126.0	1,119.9	955.2
Charleston, WV	3,215.5	3,138.9	2,923.2	2,889.4	2,971.0	2,644.6	2,589.7	2,449.9	2,113.3
Charleston-North Charleston-Summerville, SC	7,936.4	7,664.6	5,815.7	5,782.7	5,144.3	4,368.1	4,012.0	3,944.8	3,622.7
Charlotte-Gastonia-Concord, NC-SC	7,820.9	7,833.4	6,970.2	6,574.3	5,936.2	5,579.9	5,187.1	5,024.2	4,616.3
Charlottesville, VA	1,872.6	1,601.0	1,384.5	1,235.9	1,162.7	1,106.4	1,041.9	918.2	875.3
Chattanooga, TN-GA	4,181.2	3,830.8	4,100.3	3,861.2	3,689.8	3,473.7	3,430.0	3,174.0	3,049.3
Cheyenne, WY	1,250.8	1,130.4	1,090.0	1,110.7	1,085.4	994.4	886.0	901.2	774.2
Chicago-Naperville-Joliet, IL-IN-WI	66,173.2	57,387.5	53,077.7	52,063.4	48,989.3	46,091.1	43,044.2	41,344.4	39,192.9
Chico, CA	1,661.3	1,389.1	1,413.9	1,437.8	1,266.9	1,190.7	1,148.7	1,096.4	997.1
Cincinnati-Middletown, OH-KY-IN	16,977.8	16,755.9	14,507.4	13,236.0	12,386.0	11,587.1	10,586.7	10,345.0	9,717.8
Clarksville, TN-KY	2,322.2	3,666.8	3,353.9	3,054.8	2,736.0	2,494.5	2,215.7	2,030.7	1,950.7
Cleveland, TN	771.3	652.7	629.7	578.2	527.8	493.8	464.0	440.4	397.3
Cleveland-Elyria-Mentor, OH	16,437.3	16,620.1	14,851.6	14,041.8	13,307.0	12,708.0	11,960.5	11,412.8	10,697.9
Coeur d'Alene, ID	965.3	927.7	780.9	710.2	678.0	607.8	631.4	468.0	428.8
College Station-Bryan, TX	1,317.7	1,110.7	991.5	1,049.2	1,144.8	2,029.2	870.8	830.0	753.4
Colorado Springs, CO	6,331.5	6,997.3	6,607.5	6,118.9	5,552.5	5,294.3	4,833.3	4,401.6	4,023.3
Columbia, MO	1,076.7	1,014.5	983.9	954.2	835.1	769.9	731.8	721.8	662.5
Columbia, SC	6,012.5	6,843.7	6,353.4	5,583.7	5,029.9	4,843.8	4,688.0	4,341.7	3,950.0
Columbus, GA-AL	2,836.0	3,803.2	3,363.7	3,019.0	2,835.1	2,562.4	2,346.5	2,218.9	2,141.1
Columbus, IN	467.3	470.9	424.7	428.3	386.1	369.7	342.2	320.1	282.4
Columbus, OH	13,333.1	13,757.1	11,476.4	11,787.6	10,847.8	10,399.2	10,084.9	8,826.7	8,153.0
Corpus Christi, TX	3,576.5	2,988.7	3,211.1	2,969.4	3,014.5	2,722.5	2,503.4	2,337.6	2,312.9
Corvallis, OR	546.5	521.9	482.3	486.4	449.6	393.4	359.9	353.3	319.9
Cumberland, MD-WV	1,141.7	914.3	890.4	873.5	778.0	713.2	646.6	671.1	665.2
Dallas-Fort Worth-Arlington, TX	59,451.5	40,741.7	39,923.9	31,895.0	33,364.4	32,528.1	24,933.9	20,589.9	22,214.4
Dalton, GA	590.4	554.2	524.2	498.2	469.6	436.0	426.7	398.9	370.2
Danville, IL	746.0	686.2	632.2	625.5	547.7	529.3	543.4	523.3	460.1
Danville, VA	746.1	642.2	714.8	664.0	632.5	611.4	599.4	551.6	501.8
Davenport-Moline-Rock Island, IA-IL	3,039.8	2,815.4	2,561.9	2,374.9	2,209.7	2,115.3	2,108.2	2,011.1	1,864.0
Dayton, OH	8,562.8	8,132.9	7,954.8	7,606.2	7,199.0	6,883.7	6,478.2	6,456.4	6,038.0
Decatur, AL	971.3	888.9	967.1	900.1	849.7	742.6	749.3	696.2	661.3
Decatur, IL	818.8	781.7	730.5	689.1	709.6	599.4	616.2	600.7	526.5
