MSA	Physicians per 100,000
Abilene, TX	201
Akron, OH	288
Albany, GA	220
Albany-Schenectady-Troy, NY	364
Albuquerque, NM	395
Alexandria, LA	297
Allentown-Bethlehem-Easton, PA-NJ	277
Altoona, PA	272
Amarillo, TX	290
Ames, IA	224
Anchorage, AK	319
Anderson, IN	148
Anderson, SC	215
Ann Arbor, MI	1,115
Anniston-Oxford, AL	200
Appleton, WI	203
Asheville, NC	408
Athens-Clarke County, GA	252
Atlanta-Sandy Springs-Marietta, GA	259
Atlantic City-Hammonton, NJ	255
Auburn-Opelika, AL	159
Augusta-Richmond County, GA-SC	415
Austin-Round Rock, TX	244
Bakersfield, CA	155
Baltimore-Towson, MD	511
Bangor, ME	374
Barnstable Town, MA	383
Baton Rouge, LA	244
Battle Creek, MI	190
Bay City, MI	145
Beaumont-Port Arthur, TX	180
Bellingham, WA	301
Bend, OR	352
Billings, MT	391
Binghamton, NY	281
Birmingham-Hoover, AL	419
Bismarck, ND	351
Blacksburg-Christiansburg-Radford, VA	194
Bloomington, IN	212
Bloomington-Normal, IL	225
Boise City-Nampa, ID	234
Boston-Cambridge-Quincy, MA-NH	591
Boulder, CO	400
Bowling Green, KY	250
Bradenton-Sarasota-Venice, FL	364
Bremerton-Silverdale, WA	282
Bridgeport-Stamford-Norwalk, CT	432
Brownsville-Harlingen, TX	148
Brunswick, GA	270
Buffalo-Niagara Falls, NY	373
Burlington, NC	175
Burlington-South Burlington, VT	676
Canton-Massillon, OH	236
Cape Coral-Fort Myers, FL	267
Carson City, NV	280
Casper, WY	286
Cedar Rapids, IA	185
Champaign-Urbana, IL	319
Charleston, WV	333
Charleston-North Charleston-Summerville, SC	478
Charlotte-Gastonia-Concord, NC-SC	255
Charlottesville, VA	1,110
Chattanooga, TN-GA	298
Cheyenne, WY	301
Chicago-Naperville-Joliet, IL-IN-WI	349
Chico, CA	244
Cincinnati-Middletown, OH-KY-IN	328
Clarksville, TN-KY	142
Cleveland, TN	154
Cleveland-Elyria-Mentor, OH	476
Coeur d'Alene, ID	267
College Station-Bryan, TX	226
Colorado Springs, CO	242
Columbia, MO	795
Columbia, SC	309
Columbus, GA-AL	253
Columbus, IN	260
Columbus, OH	321
Corpus Christi, TX	256
Corvallis, OR	371
Cumberland, MD-WV	248
Dallas-Fort Worth-Arlington, TX	230
Dalton, GA	158
Danville, IL	182
Danville, VA	158
Davenport-Moline-Rock Island, IA-IL	206
Dayton, OH	307
Decatur, AL	158
Decatur, IL	265
Deltona-Daytona Beach-Ormond Beach, FL	223
Denver-Aurora, CO	344
Des Moines-West Des Moines, IA	214
Detroit-Warren-Livonia, MI	313
Dothan, AL	272
Dover, DE	167
Dubuque, IA	278
Duluth, MN-WI	316
Durham, NC	1,109
Eau Claire, WI	350
El Centro, CA	92
Elizabethtown, KY	204
Elkhart-Goshen, IN	152
Elmira, NY	293
El Paso, TX	199
Erie, PA	216
Eugene-Springfield, OR	299
Evansville, IN-KY	270
