MSA	2008	2007	2006	2005	2004	2003	2002	2001	2000
Abilene, TX	196	293	365	346	291	221	188	590	381
Akron, OH	1,039	1,594	2,209	2,724	2,934	3,190	2,634	3,230	3,342
Albany, GA	294	590	727	751	873	907	684	618	773
Albany-Schenectady-Troy, NY	1,892	2,703	2,450	3,639	3,268	3,222	3,225	2,893	2,576
Albuquerque, NM	2,555	4,499	6,822	7,038	7,455	7,936	7,022	5,925	4,773
Alexandria, LA	382	572	951	710	685	580	534	449	441
Allentown-Bethlehem-Easton, PA-NJ	1,694	2,789	4,144	4,848	4,612	4,376	4,563	4,139	3,759
Altoona, PA	195	294	193	180	496	362	321	255	226
Amarillo, TX	768	1,315	1,181	1,177	1,010	1,050	920	1,013	560
Ames, IA	327	360	484	946	736	744	878	500	674
Anchorage, AK	460	970	1,588	1,899	2,042	2,547	2,196	2,146	1,310
Anderson, IN	95	243	328	569	555	581	441	373	356
Anderson, SC	652	1,226	1,596	1,931	1,248	1,384	1,554	1,117	1,110
Ann Arbor, MI	347	565	775	1,676	2,708	2,527	2,333	2,105	1,980
Anniston-Oxford, AL	197	472	277	266	222	163	233	259	336
Appleton, WI	694	800	965	1,484	1,528	1,741	2,163	2,170	1,870
Asheville, NC	2,572	3,648	4,310	4,239	3,754	3,269	3,768	3,741	2,583
Athens-Clarke County, GA	591	1,691	1,891	1,996	2,113	1,956	2,262	1,427	1,358
Atlanta-Sandy Springs-Marietta, GA	19,294	44,770	68,266	72,861	74,007	66,377	68,359	66,885	65,578
Atlantic City-Hammonton, NJ	794	1,136	1,893	2,002	2,075	2,285	2,020	1,685	1,625
Auburn-Opelika, AL	1,297	1,503	2,204	1,766	1,500	1,167	1,316	963	574
Augusta-Richmond County, GA-SC	1,905	3,349	3,619	3,892	3,708	3,592	3,555	2,826	2,319
Austin-Round Rock, TX	11,792	19,903	26,096	23,241	18,015	15,317	17,201	17,814	21,774
Bakersfield, CA	2,593	4,202	6,991	8,857	6,794	5,813	4,509	3,494	3,070
Baltimore-Towson, MD	5,544	6,207	8,133	11,327	10,282	11,133	10,991	10,908	11,804
Bangor, ME	388	498	709	996	741	638	533	433	482
Barnstable Town, MA	559	818	886	1,388	1,475	1,228	1,393	1,619	1,882
Baton Rouge, LA	3,755	6,367	9,061	6,214	5,179	5,351	4,273	3,810	3,473
Battle Creek, MI	45	240	210	406	370	394	462	412	483
Bay City, MI	105	199	213	300	405	438	361	365	274
Beaumont-Port Arthur, TX	2,248	2,288	1,993	1,200	1,125	1,384	897	1,105	810
Bellingham, WA	669	1,232	1,482	2,556	2,488	2,320	1,537	1,444	1,625
Bend, OR	755	1,785	3,284	4,460	3,892	3,145	2,533	2,328	2,099
Billings, MT	571	663	725	669	939	911	712	561	491
Binghamton, NY	286	306	303	283	289	378	390	310	253
Birmingham-Hoover, AL	3,359	5,433	7,807	7,668	7,800	6,673	5,309	5,196	5,214
Bismarck, ND	811	947	993	742	852	953	864	769	502
Blacksburg-Christiansburg-Radford, VA	1,044	852	977	686	904	773	912	621	543
Bloomington, IN	576	875	737	1,028	1,138	1,176	1,043	881	625
Bloomington-Normal, IL	463	653	794	885	1,165	1,643	1,698	1,550	909
Boise City-Nampa, ID	2,797	4,864	8,352	11,549	8,895	7,724	6,999	6,717	6,215
Boston-Cambridge-Quincy, MA-NH	7,634	11,248	13,916	17,442	15,423	14,041	11,030	11,000	11,890
Boulder, CO	1,022	635	746	1,141	1,372	1,428	1,717	3,321	2,780
Bowling Green, KY	559	827	921	1,385	1,324	1,046	739	638	801
Bradenton-Sarasota-Venice, FL	2,072	2,681	7,671	14,045	14,496	9,025	10,186	9,648	7,110
Bremerton-Silverdale, WA	783	1,370	1,236	1,611	1,366	1,460	1,229	1,138	1,111
Bridgeport-Stamford-Norwalk, CT	1,814	2,290	1,939	3,119	2,495	1,964	1,879	2,220	2,278
Brownsville-Harlingen, TX	1,306	2,091	3,402	3,694	3,592	3,444	3,917	3,094	3,111
Brunswick, GA	502	835	1,226	1,277	1,104	838	963	748	707
Buffalo-Niagara Falls, NY	1,544	1,932	2,023	2,096	2,510	2,925	2,960	2,784	2,672
Burlington, NC	760	1,441	1,988	1,484	1,366	1,163	1,411	950	945
Burlington-South Burlington, VT	508	717	744	864	1,227	956	1,122	1,028	924
Canton-Massillon, OH	436	728	1,010	1,409	1,526	1,556	1,400	1,132	1,279
Cape Coral-Fort Myers, FL	1,602	5,905	18,746	29,330	20,395	15,675	11,146	10,959	9,120
Carson City, NV	16	51	187	190	232	203	336	384	276
Casper, WY	419	429	423	444	284	174	150	140	145
Cedar Rapids, IA	976	1,187	1,200	1,732	2,056	1,815	1,776	1,674	1,809
Champaign-Urbana, IL	951	1,613	1,828	2,178	1,191	1,373	1,579	988	1,155
Charleston, WV	641	550	705	665	845	461	479	384	438
Charleston-North Charleston-Summerville, SC	5,172	6,780	9,073	10,818	8,306	7,394	5,981	4,684	5,387
Charlotte-Gastonia-Concord, NC-SC	12,236	21,190	25,161	22,027	21,551	18,833	19,270	20,884	22,362
Charlottesville, VA	913	1,317	1,789	2,029	2,257	2,008	2,636	1,663	1,300
Chattanooga, TN-GA	1,544	2,687	3,455	3,798	3,558	3,266	2,934	2,880	2,533
Cheyenne, WY	202	316	509	872	876	779	478	319	245
Chicago-Naperville-Joliet, IL-IN-WI	16,058	33,933	46,722	53,908	47,541	49,954	49,198	45,371	42,490
Chico, CA	592	985	1,282	1,693	1,989	1,769	1,186	1,093	1,134
Cincinnati-Middletown, OH-KY-IN	4,000	6,884	9,447	12,917	13,049	13,181	12,820	12,535	12,197
Clarksville, TN-KY	1,402	2,222	3,215	2,768	2,729	2,133	1,687	1,769	1,687
Cleveland, TN	446	819	841	826	859	725	525	504	510
Cleveland-Elyria-Mentor, OH	2,685	4,075	5,194	6,438	7,409	7,040	6,803	6,758	6,953
Coeur d'Alene, ID	774	1,661	1,599	2,688	2,365	1,837	1,414	1,344	1,174
College Station-Bryan, TX	2,158	1,927	1,585	1,636	1,192	1,884	1,839	1,447	1,383
Colorado Springs, CO	2,076	3,229	4,595	6,983	6,766	5,449	7,062	7,323	6,632
Columbia, MO	546	1,166	1,936	2,329	2,339	2,101	1,798	1,208	1,266
Columbia, SC	4,348	6,865	8,117	7,430	7,249	6,439	5,198	4,804	4,835
Columbus, GA-AL	1,100	1,808	2,227	2,245	2,078	1,991	1,437	1,757	1,638
Columbus, IN	192	257	281	292	278	283	131	223	212
Columbus, OH	4,449	6,402	7,876	12,263	13,290	16,423	17,115	15,730	15,354
Corpus Christi, TX	1,603	2,017	3,300	2,613	3,055	1,997	1,981	1,297	1,647
Corvallis, OR	108	213	355	496	366	439	369	795	264
Cumberland, MD-WV	152	246	234	245	231	217	208	151	407
Dallas-Fort Worth-Arlington, TX	36,321	43,568	56,514	59,895	54,179	52,813	51,520	49,797	44,675
Dalton, GA	302	670	933	1,037	813	859	716	885	1,099
Danville, IL	12	47	35	45	122	70	62	60	70
Danville, VA	152	288	300	310	378	328	262	306	358
Davenport-Moline-Rock Island, IA-IL	487	1,190	1,155	1,477	1,270	1,279	1,301	1,078	1,069
Dayton, OH	1,241	1,577	2,131	3,155	3,160	4,109	3,246	2,783	2,685
Decatur, AL	195	467	336	400	374	429	409	313	399
Decatur, IL	453	146	411	306	357	526	393	225	361
Deltona-Daytona Beach-Ormond Beach, FL	1,366	2,185	3,815	6,884	6,436	6,416	4,940	4,516	3,587
Denver-Aurora, CO	8,814	14,217	18,070	20,849	21,836	17,359	17,359	17,359	17,359
Des Moines-West Des Moines, IA	2,913	3,850	5,120	6,300	5,461	5,502	4,864	4,022	3,179
Detroit-Warren-Livonia, MI	2,590	4,325	8,920	16,392	21,808	19,900	19,034	17,566	19,313
Dothan, AL	363	351	702	701	731	455	403	389	691
Dover, DE	988	1,484	1,703	2,182	2,178	2,167	1,452	1,018	858
Dubuque, IA	214	367	411	560	872	541	497	441	341
Duluth, MN-WI	785	1,001	1,192	1,477	1,715	1,349	1,091	1,011	1,133
Durham, NC	2,498	3,254	4,373	4,393	4,977	5,103	4,696	5,776	4,531
Eau Claire, WI	480	651	782	970	1,102	1,162	1,370	1,418	1,173
El Centro, CA	511	969	2,203	2,191	1,778	1,201	1,021	1,057	773
Elizabethtown, KY	616	1,043	1,146	1,325	1,160	957	799	770	549
Elkhart-Goshen, IN	489	681	923	1,024	1,163	1,175	1,606	1,054	1,296
Elmira, NY	63	92	91	107	95	145	141	179	178
El Paso, TX	3,981	4,379	4,140	5,405	3,942	5,271	3,710	3,438	3,203
