MSA	International Immigration
Abilene, TX	455
Akron, OH	4,694
Albany, GA	700
Albany-Schenectady-Troy, NY	9,250
Albuquerque, NM	14,054
Alexandria, LA	483
Allentown-Bethlehem-Easton, PA-NJ	11,684
Altoona, PA	186
Amarillo, TX	3,761
Ames, IA	3,633
Anchorage, AK	3,064
Anderson, IN	605
Anderson, SC	890
Ann Arbor, MI	14,974
Anniston-Oxford, AL	390
Appleton, WI	1,611
Asheville, NC	5,935
Athens-Clarke County, GA	5,444
Atlanta-Sandy Springs-Marietta, GA	189,267
Atlantic City-Hammonton, NJ	9,426
Auburn-Opelika, AL	1,256
Augusta-Richmond County, GA-SC	2,155
Austin-Round Rock, TX	61,564
Bakersfield, CA	21,272
Baltimore-Towson, MD	32,841
Bangor, ME	780
Barnstable Town, MA	2,582
Baton Rouge, LA	6,473
Battle Creek, MI	1,244
Bay City, MI	166
Beaumont-Port Arthur, TX	4,117
Bellingham, WA	4,429
Bend, OR	626
Billings, MT	232
Binghamton, NY	2,742
Birmingham-Hoover, AL	9,278
Bismarck, ND	277
Blacksburg-Christiansburg-Radford, VA	2,835
Bloomington, IN	3,366
Bloomington-Normal, IL	1,978
Boise City-Nampa, ID	8,524
Boston-Cambridge-Quincy, MA-NH	171,722
Boulder, CO	11,113
Bowling Green, KY	2,593
Bradenton-Sarasota-Venice, FL	13,998
Bremerton-Silverdale, WA	-54
Bridgeport-Stamford-Norwalk, CT	47,408
Brownsville-Harlingen, TX	14,858
Brunswick, GA	923
Buffalo-Niagara Falls, NY	10,452
Burlington, NC	4,707
Burlington-South Burlington, VT	3,329
Canton-Massillon, OH	676
Cape Coral-Fort Myers, FL	13,502
Carson City, NV	1,428
Casper, WY	279
Cedar Rapids, IA	1,952
Champaign-Urbana, IL	7,218
Charleston, WV	545
Charleston-North Charleston-Summerville, SC	4,449
Charlotte-Gastonia-Concord, NC-SC	44,413
Charlottesville, VA	3,904
Chattanooga, TN-GA	3,961
Cheyenne, WY	-36
Chicago-Naperville-Joliet, IL-IN-WI	401,002
Chico, CA	3,234
Cincinnati-Middletown, OH-KY-IN	17,985
Clarksville, TN-KY	-1,739
Cleveland, TN	831
Cleveland-Elyria-Mentor, OH	26,340
Coeur d'Alene, ID	335
College Station-Bryan, TX	8,355
Colorado Springs, CO	5,596
Columbia, MO	3,046
Columbia, SC	6,555
Columbus, GA-AL	800
Columbus, IN	1,626
Columbus, OH	31,386
Corpus Christi, TX	3,203
Corvallis, OR	2,522
Cumberland, MD-WV	120
Dallas-Fort Worth-Arlington, TX	304,391
Dalton, GA	7,109
Danville, IL	355
Danville, VA	618
Davenport-Moline-Rock Island, IA-IL	3,849
Dayton, OH	4,076
Decatur, AL	1,368
Decatur, IL	362
Deltona-Daytona Beach-Ormond Beach, FL	6,027
Denver-Aurora, CO	96,942
Des Moines-West Des Moines, IA	10,372
Detroit-Warren-Livonia, MI	94,741
Dothan, AL	470
Dover, DE	593
Dubuque, IA	774
Duluth, MN-WI	817
Durham, NC	22,731
Eau Claire, WI	566
El Centro, CA	7,996
Elizabethtown, KY	-9
Elkhart-Goshen, IN		6,297
Elmira, NY	304
El Paso, TX	31,436
Erie, PA	2,959
Eugene-Springfield, OR	5,076
Evansville, IN-KY	1,532
Fairbanks, AK	-237
Fargo, ND-MN	2,556
Farmington, NM	913
Fayetteville, NC	-1,759
Fayetteville-Springdale-Rogers, AR-MO	10,537
Flagstaff, AZ	1,470
Flint, MI	1,210
Florence, SC	703
Florence-Muscle Shoals, AL	423
Fond du Lac, WI	767
Fort Collins-Loveland, CO	4,554
Fort Smith, AR-OK	3,979
Fort Walton Beach-Crestview-Destin, FL	-550
Fort Wayne, IN	5,705
Fresno, CA	34,759
Gadsden, AL	618
Gainesville, FL	6,103
Gainesville, GA	12,091
Glens Falls, NY	280
Goldsboro, NC	1,322
Grand Forks, ND-MN	609
Grand Junction, CO	895
Grand Rapids-Wyoming, MI	15,998
Great Falls, MT	-243
Greeley, CO	6,495
Green Bay, WI	3,562
Greensboro-High Point, NC	20,290
Greenville, NC	2,803
Greenville-Mauldin-Easley, SC	11,492
Gulfport-Biloxi, MS	339
Hagerstown-Martinsburg, MD-WV	696
Hanford-Corcoran, CA	3,646
