MSA	National Immigration	
Abilene, TX	-7,571
Akron, OH	-16,865
Albany, GA	-3,580
Albany-Schenectady-Troy, NY	6,723
Albuquerque, NM	58,915
Alexandria, LA	207
Allentown-Bethlehem-Easton, PA-NJ	44,024
Altoona, PA	-2,382
Amarillo, TX	758
Ames, IA	-617
Anchorage, AK	12,241
Anderson, IN	-3,436
Anderson, SC	13,277
Ann Arbor, MI	-8,266
Anniston-Oxford, AL	-263
Appleton, WI	4,627
Asheville, NC	32,387
Athens-Clarke County, GA	9,199
Atlanta-Sandy Springs-Marietta, GA	409,916
Atlantic City-Hammonton, NJ	1,930
Auburn-Opelika, AL	11,738
Augusta-Richmond County, GA-SC	11,878
Austin-Round Rock, TX	208,063
Bakersfield, CA	52,104
Baltimore-Towson, MD	-35,429
Bangor, ME	1,814
Barnstable Town, MA	3,480
Baton Rouge, LA	26,636
Battle Creek, MI	-6,501
Bay City, MI	-3,767
Beaumont-Port Arthur, TX	-19,116
Bellingham, WA	19,541
Bend, OR	37,173
Billings, MT	8,108
Binghamton, NY	-10,266
Birmingham-Hoover, AL	23,462
Bismarck, ND	6,102
Blacksburg-Christiansburg-Radford, VA	2,657
Bloomington, IN	862
Bloomington-Normal, IL	4,181
Boise City-Nampa, ID	84,418
Boston-Cambridge-Quincy, MA-NH	-256,496
Boulder, CO	-4,164
Bowling Green, KY	6,986
Bradenton-Sarasota-Venice, FL	99,253
Bremerton-Silverdale, WA	-1,064
Bridgeport-Stamford-Norwalk, CT	-72,479
Brownsville-Harlingen, TX	-9,728
Brunswick, GA	6,529
Buffalo-Niagara Falls, NY	-56,130
Burlington, NC	8,615
Burlington-South Burlington, VT	-731
Canton-Massillon, OH	-8,429
Cape Coral-Fort Myers, FL	134,520
Carson City, NV	377
Casper, WY	3,426
Cedar Rapids, IA	4,595
Champaign-Urbana, IL	-1,982
Charleston, WV	-5,833
Charleston-North Charleston-Summerville, SC	58,354
Charlotte-Gastonia-Concord, NC-SC	223,724
Charlottesville, VA	7,037
Chattanooga, TN-GA	15,013
Cheyenne, WY	1,702
Chicago-Naperville-Joliet, IL-IN-WI	-520,925
Chico, CA	12,817
Cincinnati-Middletown, OH-KY-IN	-18,954
Clarksville, TN-KY	2,933
Cleveland, TN	4,757
