MSA	2008	2007	2006	2005	2004	2003	2002	2001	2000
Abilene, TX	3.9	3.6	4.0	4.2	4.7	5.3	5.1	4.5	4.2
Akron, OH	6.2	5.4	5.2	5.7	6.0	6.1	5.9	4.5	4.1
Albany, GA	6.3	5.2	5.2	5.5	5.2	5.0	5.3	5.0	4.7
Albany-Schenectady-Troy, NY	5.0	4.0	4.0	4.0	4.3	4.4	4.2	3.5	3.4
Albuquerque, NM	4.3	3.5	4.0	4.9	5.4	5.5	5.1	4.3	4.1
Alexandria, LA	4.4	3.8	3.6	5.8	5.3	6.4	6.0	5.7	5.2
Allentown-Bethlehem-Easton, PA-NJ	5.6	4.4	4.6	4.9	5.3	5.7	5.5	4.3	3.7
Altoona, PA	5.3	4.2	4.5	5.2	5.4	5.5	5.9	5.6	4.7
Amarillo, TX	3.6	3.4	3.7	4.0	4.3	4.8	4.6	3.9	3.9
Ames, IA	3.0	2.8	2.7	3.1	3.1	2.8	2.5	2.1	1.9
Anchorage, AK	5.8	5.4	5.7	5.9	6.3	6.6	6.1	5.2	5.3
Anderson, IN	7.0	6.3	6.0	6.5	6.0	6.0	5.8	4.5	3.0
Anderson, SC	6.9	5.7	6.7	7.4	7.2	7.1	6.3	5.4	3.0
Ann Arbor, MI	5.9	4.8	4.6	4.4	4.3	4.1	3.6	2.9	2.3
Anniston-Oxford, AL	5.1	3.5	3.5	3.8	4.9	5.4	5.4	5.0	4.5
Appleton, WI	4.5	4.5	4.5	4.5	4.7	5.5	5.3	4.0	2.8
Asheville, NC	5.0	3.6	3.8	4.4	4.4	4.9	5.3	4.6	3.3
Athens-Clarke County, GA	4.9	3.7	3.9	4.2	3.9	3.6	3.8	3.6	3.2
Atlanta-Sandy Springs-Marietta, GA	6.2	4.5	4.6	5.2	4.7	4.8	4.9	3.6	3.1
Atlantic City-Hammonton, NJ	7.0	5.9	5.7	5.3	5.6	6.2	6.0	4.8	4.7
Auburn-Opelika, AL	4.6	3.2	3.0	3.2	4.0	4.3	4.2	3.7	3.5
Augusta-Richmond County, GA-SC	6.3	5.4	5.8	6.0	5.4	5.1	5.0	4.6	3.9
Austin-Round Rock, TX	4.4	3.7	4.2	4.5	5.1	6.0	5.9	4.3	3.0
Bakersfield, CA	9.8	8.2	7.6	8.4	9.9	10.3	9.8	8.6	8.2
Baltimore-Towson, MD	4.6	3.7	4.0	4.4	4.6	4.8	4.8	4.3	3.8
Bangor, ME	5.6	5.1	5.0	5.1	5.5	6.0	4.6	4.0	3.6
Barnstable Town, MA	5.8	4.8	5.0	4.9	5.1	5.3	4.7	3.9	3.5
Baton Rouge, LA	4.5	3.7	3.9	6.5	5.8	6.2	5.7	5.2	4.7
Battle Creek, MI	7.7	6.8	6.9	6.6	6.9	7.1	6.0	5.2	4.1
Bay City, MI	7.9	6.7	6.9	7.0	7.5	7.5	6.6	5.3	4.0
Beaumont-Port Arthur, TX	6.6	5.3	5.9	7.6	8.2	8.7	7.9	7.2	6.5
Bellingham, WA	5.0	4.2	4.5	5.0	5.8	6.8	6.9	6.5	5.1
Bend, OR	8.0	5.0	4.6	5.8	6.8	7.8	7.8	6.5	5.4
Billings, MT	3.4	2.6	2.7	3.0	3.2	3.4	3.6	3.6	4.1
Binghamton, NY	5.6	4.6	4.7	4.9	5.4	5.8	5.8	4.3	3.6
Birmingham-Hoover, AL	4.5	3.1	3.2	3.5	4.4	4.7	4.6	3.8	3.4
Bismarck, ND	3.0	2.8	2.8	3.1	3.1	3.2	3.2	2.5	2.5
Blacksburg-Christiansburg-Radford, VA	4.9	3.9	3.4	4.0	4.4	4.7	4.9	4.5	3.2
Bloomington, IN	5.0	4.1	4.6	5.2	4.8	4.8	4.8	4.1	3.0
Bloomington-Normal, IL	5.1	4.0	3.6	4.3	4.5	4.1	3.8	3.4	3.4
Boise City-Nampa, ID	5.1	2.9	2.7	3.4	4.2	5.0	5.1	4.1	3.7
Boston-Cambridge-Quincy, MA-NH	4.8	4.1	4.4	4.5	5.0	5.6	5.2	3.6	2.6
Boulder, CO	4.2	3.4	3.8	4.5	5.0	5.8	5.8	3.7	2.4
Bowling Green, KY	5.6	4.6	5.1	5.3	4.8	5.7	5.3	4.9	3.9
Bradenton-Sarasota-Venice, FL	6.9	4.3	3.1	3.4	4.1	4.6	4.9	4.0	3.2
Bremerton-Silverdale, WA	5.0	4.3	4.6	5.1	5.8	6.7	6.7	6.0	5.0
Bridgeport-Stamford-Norwalk, CT	5.2	4.0	3.9	4.4	4.4	5.0	4.1	3.0	2.0
Brownsville-Harlingen, TX	6.8	6.0	6.6	7.6	8.8	9.6	9.0	7.9	7.0
Brunswick, GA	5.3	3.8	4.0	4.6	4.2	4.2	4.2	3.9	3.7
Buffalo-Niagara Falls, NY	6.0	4.9	5.1	5.3	5.8	6.0	5.6	4.9	4.3
Burlington, NC	6.6	5.1	5.5	6.0	6.3	7.2	7.2	5.7	3.2
Burlington-South Burlington, VT	4.3	3.6	3.6	3.3	3.5	4.2	3.7	3.0	2.4
Canton-Massillon, OH	6.8	5.8	5.7	6.4	6.6	6.8	5.9	4.4	4.2
Cape Coral-Fort Myers, FL	8.1	4.6	2.9	3.2	4.0	4.6	4.8	3.7	3.2
Carson City, NV	7.1	5.0	4.9	5.0	5.0	5.8	5.8	5.1	3.7
Casper, WY	2.9	2.7	3.1	3.6	3.8	4.5	4.2	3.8	3.9
Cedar Rapids, IA	4.0	3.8	3.8	4.4	4.8	4.8	4.4	3.1	2.4
Champaign-Urbana, IL	5.7	4.5	3.9	4.3	4.6	4.6	4.4	3.8	3.6
Charleston, WV	3.6	3.9	4.2	4.8	4.9	5.5	5.7	4.9	5.2
Charleston-North Charleston-Summerville, SC	5.6	4.4	5.1	5.4	5.4	5.3	4.6	4.2	3.1
Charlotte-Gastonia-Concord, NC-SC	6.4	4.7	4.8	5.3	5.7	6.4	6.1	5.0	3.4
Charlottesville, VA	3.3	2.4	2.5	3.1	3.3	3.6	3.4	2.6	2.1
Chattanooga, TN-GA	5.7	4.2	4.4	4.8	4.5	4.4	4.4	3.8	3.4
Cheyenne, WY	3.9	3.7	4.0	4.3	4.6	4.6	4.3	4.1	3.7
Chicago-Naperville-Joliet, IL-IN-WI	6.2	4.9	4.5	5.9	6.2	6.8	6.7	5.5	4.3
Chico, CA	8.4	6.7	6.2	6.8	7.4	7.6	7.4	6.6	6.2
Cincinnati-Middletown, OH-KY-IN	5.8	5.0	5.2	5.3	5.3	5.4	5.1	4.1	3.6
Clarksville, TN-KY	7.0	5.5	5.4	5.8	5.3	5.7	5.6	5.2	4.2
Cleveland, TN	6.5	4.7	5.1	5.4	5.2	5.4	5.1	4.3	3.8
Cleveland-Elyria-Mentor, OH	6.6	5.9	5.5	5.7	5.9	6.0	5.4	4.4	3.9
Coeur d'Alene, ID	5.6	3.3	3.3	4.2	5.4	6.4	7.0	6.8	6.2
College Station-Bryan, TX	4.0	3.8	4.1	4.3	4.5	5.0	4.5	3.9	3.8
Colorado Springs, CO	5.8	4.4	4.7	5.4	5.8	6.3	6.1	4.2	2.9
Columbia, MO	4.4	3.7	3.3	3.6	3.9	3.6	3.4	3.0	2.2
Columbia, SC	5.9	4.9	5.5	5.7	5.7	5.5	4.8	4.3	3.1
Columbus, GA-AL	6.2	5.1	5.2	5.7	5.5	5.4	5.4	4.8	4.4
Columbus, IN	4.6	3.6	4.2	4.8	4.4	4.8	4.8	4.0	2.5
Columbus, OH	5.5	4.8	4.7	5.2	5.4	5.4	5.0	3.5	3.2
Corpus Christi, TX	4.7	4.4	5.0	5.6	6.5	6.7	6.3	5.5	5.4
Corvallis, OR	4.5	4.1	4.7	4.9	5.4	5.8	5.3	4.5	3.9
