MSA	Land Area
Abilene, TX	2,745.20
Akron, OH	905.1
Albany, GA	1,933.70
Albany-Schenectady-Troy, NY	2,817.40
Albuquerque, NM	9,287.80
Alexandria, LA	1,967.70
Allentown-Bethlehem-Easton, PA-NJ	1,459.40
Altoona, PA	525.8
Amarillo, TX	3,660.50
Ames, IA	572.9
Anchorage, AK	26,378.80
Anderson, IN	452.1
Anderson, SC	718
Ann Arbor, MI	709.9
Anniston-Oxford, AL	608.5
Appleton, WI	960.2
Asheville, NC	2,033.10
Athens-Clarke County, GA	1,031.50
Atlanta-Sandy Springs-Marietta, GA	8,376.50
Atlantic City-Hammonton, NJ	561.1
Auburn-Opelika, AL	608.7
Augusta-Richmond County, GA-SC	3,278.80
Austin-Round Rock, TX	4,224.00
Bakersfield, CA	8,141.00
Baltimore-Towson, MD	2,609.10
Bangor, ME	3,395.70
Barnstable Town, MA	395.5
Baton Rouge, LA	4,029.90
Battle Creek, MI	708.7
Bay City, MI	444.3
Beaumont-Port Arthur, TX	2,154.30
Bellingham, WA	2,119.50
Bend, OR	3,018.20
Billings, MT	4,683.10
Binghamton, NY	1,225.50
Birmingham-Hoover, AL	5,298.00
Bismarck, ND	3,559.40
Blacksburg-Christiansburg-Radford, VA	1,075.90
Bloomington, IN	1,321.30
Bloomington-Normal, IL	1,183.50
Boise City-Nampa, ID	11,787.70
Boston-Cambridge-Quincy, MA-NH	3,506.80
Boulder, CO	742.5
Bowling Green, KY	847.8
Bradenton-Sarasota-Venice, FL	1,312.60
Bremerton-Silverdale, WA	396
Bridgeport-Stamford-Norwalk, CT	625.8
Brownsville-Harlingen, TX	905.8
Brunswick, GA	1,300.20
Buffalo-Niagara Falls, NY	1,567.20
Burlington, NC	430
Burlington-South Burlington, VT	1,258.70
Canton-Massillon, OH	970.8
Cape Coral-Fort Myers, FL	803.6
Carson City, NV	143.4
Casper, WY	5,339.90
Cedar Rapids, IA	2,009.10
Champaign-Urbana, IL	1,922.70
Charleston, WV	2,532.10
Charleston-North Charleston-Summerville, SC	2,591.00
Charlotte-Gastonia-Concord, NC-SC	3,098.30
Charlottesville, VA	1,649.20
Chattanooga, TN-GA	2,089.40
Cheyenne, WY	2,686.10
Chicago-Naperville-Joliet, IL-IN-WI	7,212.00
Chico, CA	1,639.50
Cincinnati-Middletown, OH-KY-IN	4,398.20
Clarksville, TN-KY	2,162.20
Cleveland, TN	763.8
Cleveland-Elyria-Mentor, OH	2,004.40
Coeur d'Alene, ID	1,245.10
College Station-Bryan, TX	2,105.90
Colorado Springs, CO	2,683.50
Columbia, MO	1,151.20
Columbia, SC	3,701.20
Columbus, GA-AL	1,937.00
Columbus, IN	406.8
Columbus, OH	3,984.10
Corpus Christi, TX	1,779.30
Corvallis, OR	676.5
Cumberland, MD-WV	753.2
Dallas-Fort Worth-Arlington, TX	8,989.60
Dalton, GA	634.4
Danville, IL	899.1
Danville, VA	1,013.80
Davenport-Moline-Rock Island, IA-IL	2,268.90
Dayton, OH	1,708.40
Decatur, AL	1,275.60
Decatur, IL	580.5
Deltona-Daytona Beach-Ormond Beach, FL	1,103.30
Denver-Aurora, CO	8,357.40
Des Moines-West Des Moines, IA	2,879.20
Detroit-Warren-Livonia, MI	3,914.10
Dothan, AL	1,718.40
Dover, DE	589.7
Dubuque, IA	608.2
Duluth, MN-WI	8,394.60
Durham, NC	1,765.30
Eau Claire, WI	1,648.10
El Centro, CA	4,174.70
Elizabethtown, KY	891.2
Elkhart-Goshen, IN	463.8
Elmira, NY	408.2
El Paso, TX	1,013.10
Erie, PA	802
Eugene-Springfield, OR	4,554.00
Evansville, IN-KY	2,290.80
Fairbanks, AK	7,366.20
Fargo, ND-MN	2,810.50
Farmington, NM	5,514.00
Fayetteville, NC	1,043.90
Fayetteville-Springdale-Rogers, AR-MO	3,172.00
Flagstaff, AZ	18,617.40
