MSA	2008	2007	2006	2005	2004	2003	2002	2001	2000	1990
Abilene, TX	159,521	159,156	158,734	158,681	158,547	158,029	158,099	158,284	160,241	148,004
Akron, OH	698,553	699,082	699,255	700,403	700,382	700,110	699,463	698,205	694,962	657,575
Albany, GA	164,919	163,941	162,974	161,912	161,404	161,128	160,013	159,814	157,868	146,583
Albany-Schenectady-Troy, NY	853,919	851,564	850,291	846,361	843,811	839,545	833,525	829,321	825,873	809,642
Albuquerque, NM	845,913	833,044	815,979	797,146	779,751	765,381	753,210	739,327	729,648	599,416
Alexandria, LA	153,105	152,656	152,145	147,050	146,308	145,518	145,123	144,915	145,035	149,082
Allentown-Bethlehem-Easton, PA-NJ	808,210	802,496	794,432	784,814	775,143	765,277	755,906	748,523	740,402	686,688
Altoona, PA	125,174	125,342	125,529	125,882	126,529	126,837	127,341	128,335	129,144	130,542
Amarillo, TX	243,838	242,124	239,804	237,644	235,015	232,707	230,161	228,292	226,522	196,111
Ames, IA	86,754	85,306	83,505	81,852	81,957	81,481	81,607	80,052	79,981	74,252
Anchorage, AK	364,701	360,089	358,812	351,128	345,498	338,665	332,357	325,648	319,606	266,021
Anderson, IN	131,501	131,157	131,012	130,603	131,198	131,627	132,458	132,992	133,358	130,669
Anderson, SC	182,825	179,964	176,958	174,232	172,588	171,132	169,874	168,690	165,738	145,177
Ann Arbor, MI	347,376	347,969	346,185	344,025	340,725	337,093	333,636	329,239	322,770	282,937
Anniston-Oxford, AL	113,419	112,856	112,581	111,953	111,520	111,308	110,814	111,001	112,243	116,032
Appleton, WI	219,720	217,840	216,125	214,120	212,161	210,226	208,112	205,327	201,720	174,801
Asheville, NC	408,436	403,528	396,985	390,789	386,320	381,769	377,644	373,766	369,170	307,999
Athens-Clarke County, GA	189,264	186,318	182,702	178,844	178,022	173,823	170,914	169,081	166,075	136,025
Atlanta-Sandy Springs-Marietta, GA	5,376,285	5,261,296	5,113,924	4,945,773	4,801,265	4,672,334	4,554,769	4,432,582	4,248,014	3,068,975
Atlantic City-Hammonton, NJ	270,681	269,970	269,329	268,120	265,820	261,621	258,009	254,783	252,552	224,327
Auburn-Opelika, AL	133,010	130,521	127,925	125,132	121,542	119,520	118,127	116,738	115,124	87,146
Augusta-Richmond County, GA-SC	534,218	528,312	522,072	517,079	514,118	509,285	506,275	502,882	499,656	435,799
Austin-Round Rock, TX	1,652,602	1,592,590	1,527,040	1,464,563	1,419,137	1,382,675	1,353,122	1,324,344	1,249,747	846,227
Bakersfield, CA	800,458	787,179	770,221	748,766	727,068	707,673	689,617	674,235	661,653	544,981
Baltimore-Towson, MD	2,667,117	2,663,805	2,658,022	2,646,991	2,636,172	2,620,419	2,599,306	2,577,412	2,553,000	2,382,172
Bangor, ME	148,651	148,527	147,839	146,902	146,566	147,061	146,207	145,572	144,919	146,601
Barnstable Town, MA	221,049	221,990	223,315	224,913	226,829	228,135	227,002	225,042	222,232	186,605
Baton Rouge, LA	774,327	769,397	763,588	729,366	725,212	718,850	713,356	709,718	705,902	623,850
Battle Creek, MI	135,861	136,334	137,192	138,060	138,754	138,418	138,265	138,005	137,985	135,982
Bay City, MI	107,495	107,366	107,927	108,531	108,929	109,122	109,576	109,651	110,157	111,723
Beaumont-Port Arthur, TX	378,255	376,448	373,847	380,319	380,342	379,987	380,948	381,678	385,090	361,218
Bellingham, WA	196,529	192,353	188,289	185,180	181,575	177,699	174,888	171,196	166,828	127,780
Bend, OR	158,456	153,799	148,827	140,942	134,056	129,292	125,440	120,645	115,367	74,976
Billings, MT	152,005	149,475	147,658	146,193	144,189	142,674	141,401	140,236	138,902	121,499
Binghamton, NY	245,189	245,850	246,440	246,835	248,352	249,622	251,255	251,412	252,323	264,497
Birmingham-Hoover, AL	1,117,608	1,108,672	1,100,286	1,088,303	1,080,206	1,072,415	1,064,480	1,060,076	1,051,301	956,646
Bismarck, ND	104,944	103,127	101,155	99,388	97,744	96,851	96,090	95,167	94,733	83,831
Blacksburg-Christiansburg-Radford, VA	158,328	157,356	155,792	154,416	153,159	152,818	152,572	153,038	151,324	140,715
Bloomington, IN	183,944	182,620	181,543	179,954	179,243	178,098	176,472	176,161	175,507	156,669
Bloomington-Normal, IL	165,298	163,692	161,630	159,349	158,369	157,227	155,595	152,598	150,433	129,180
