MSA	White alone
Abilene, TX	89.0
Akron, OH	84.8
Albany, GA	48.0
Albany-Schenectady-Troy, NY	87.6
Albuquerque, NM	85.8
Alexandria, LA	68.5
Allentown-Bethlehem-Easton, PA-NJ	91.4
Altoona, PA	97.0
Amarillo, TX	89.3
Ames, IA	90.6
Anchorage, AK	75.6
Anderson, IN	89.8
Anderson, SC	81.4
Ann Arbor, MI	76.9
Anniston-Oxford, AL	77.9
Appleton, WI	94.5
Asheville, NC	92.5
Athens-Clarke County, GA	76.9
Atlanta-Sandy Springs-Marietta, GA	62.4
Atlantic City-Hammonton, NJ	73.7
Auburn-Opelika, AL	73.8
Augusta-Richmond County, GA-SC	60.9
Austin-Round Rock, TX	85.1
Bakersfield, CA	85.4
Baltimore-Towson, MD	65.4
Bangor, ME	96.3
Barnstable Town, MA	94.9
Baton Rouge, LA	61.8
Battle Creek, MI	85.1
Bay City, MI	95.8
Beaumont-Port Arthur, TX	71.2
Bellingham, WA	89.9
Bend, OR	95.1
Billings, MT	92.1
Binghamton, NY	91.5
Birmingham-Hoover, AL	69.6
Bismarck, ND	93.8
Blacksburg-Christiansburg-Radford, VA	90.7
Bloomington, IN	92.6
Bloomington-Normal, IL	88.1
Boise City-Nampa, ID	93.8
Boston-Cambridge-Quincy, MA-NH	84.4
Boulder, CO	92.5
Bowling Green, KY	89.3
Bradenton-Sarasota-Venice, FL	90.5
Bremerton-Silverdale, WA	85.8
Bridgeport-Stamford-Norwalk, CT	83.3
Brownsville-Harlingen, TX	96.9
Brunswick, GA	74.5
Buffalo-Niagara Falls, NY	84.0
Burlington, NC	78.5
Burlington-South Burlington, VT	94.7
Canton-Massillon, OH	90.6
Cape Coral-Fort Myers, FL	89.0
Carson City, NV	91.2
Casper, WY	95.1
Cedar Rapids, IA	93.3
Champaign-Urbana, IL	80.8
Charleston, WV	92.4
Charleston-North Charleston-Summerville, SC	67.8
Charlotte-Gastonia-Concord, NC-SC	72.1
Charlottesville, VA	81.6
Chattanooga, TN-GA	83.3
Cheyenne, WY	90.7
Chicago-Naperville-Joliet, IL-IN-WI	75.0
Chico, CA	88.8
Cincinnati-Middletown, OH-KY-IN	84.7
Clarksville, TN-KY	76.8
Cleveland, TN	93.8
Cleveland-Elyria-Mentor, OH	76.8
Coeur d'Alene, ID	95.6
College Station-Bryan, TX	82.6
Colorado Springs, CO	85.5
Columbia, MO	86.1
Columbia, SC	63.0
Columbus, GA-AL	54.4
Columbus, IN	93.6
Columbus, OH	80.7
Corpus Christi, TX	92.5
Corvallis, OR	89.8
Cumberland, MD-WV	92.8
Dallas-Fort Worth-Arlington, TX	78.4
Dalton, GA	94.5
Danville, IL	85.8
Danville, VA	65.8
Davenport-Moline-Rock Island, IA-IL	89.9
Dayton, OH	82.0
Decatur, AL	83.9
Decatur, IL	82.2
Deltona-Daytona Beach-Ormond Beach, FL	86.3
Denver-Aurora, CO	87.6
Des Moines-West Des Moines, IA	91.3
Detroit-Warren-Livonia, MI	72.0
Dothan, AL	74.5
Dover, DE	72.4
Dubuque, IA	96.3
Duluth, MN-WI	94.0
Durham, NC	66.8
Eau Claire, WI	95.8
El Centro, CA	89.9
Elizabethtown, KY	85.4
Elkhart-Goshen, IN	91.3
Elmira, NY	90.5
El Paso, TX	92.6
Erie, PA	91.0
Eugene-Springfield, OR	91.7
Evansville, IN-KY	91.8
Fairbanks, AK	80.0
Fargo, ND-MN	94.1
Farmington, NM	59.1
Fayetteville, NC	55.8
Fayetteville-Springdale-Rogers, AR-MO	91.3
Flagstaff, AZ	66.1
Flint, MI	77.0
Florence, SC	57.0
Florence-Muscle Shoals, AL	85.8
Fond du Lac, WI	96.4
Fort Collins-Loveland, CO	94.5
Fort Smith, AR-OK	84.5
Fort Walton Beach-Crestview-Destin, FL	83.4
Fort Wayne, IN	86.2
Fresno, CA	81.2
Gadsden, AL	83.4
Gainesville, FL	74.9
Gainesville, GA	89.8
Glens Falls, NY	96.0
Goldsboro, NC	64.8
Grand Forks, ND-MN	94.0
Grand Junction, CO	95.6
Grand Rapids-Wyoming, MI	88.2
Great Falls, MT	90.6
Greeley, CO	95.1
Green Bay, WI	93.1
Greensboro-High Point, NC	71.0
Greenville, NC	63.2
Greenville-Mauldin-Easley, SC	79.7
Gulfport-Biloxi, MS	75.0
Hagerstown-Martinsburg, MD-WV	89.3
Hanford-Corcoran, CA	84.0
Harrisburg-Carlisle, PA	86.0
Harrisonburg, VA	93.1
Hartford-West Hartford-East Hartford, CT	83.7
Hattiesburg, MS	70.5
Hickory-Lenoir-Morganton, NC	89.2
Hinesville-Fort Stewart, GA	54.5
Holland-Grand Haven, MI	94.7
Honolulu, HI	25.7
Hot Springs, AR	88.9
Houma-Bayou Cane-Thibodaux, LA	77.5
Houston-Sugar Land-Baytown, TX	75.0
Huntington-Ashland, WV-KY-OH	95.4
Huntsville, AL	73.6
Idaho Falls, ID	96.6
Indianapolis-Carmel, IN	81.8
Iowa City, IA	90.7
Ithaca, NY	83.5
Jackson, MI	89.2
Jackson, MS	51.4
Jackson, TN	67.5
