MSA	Hispanic
Abilene, TX	20.2
Akron, OH	1.2
Albany, GA	1.6
Albany-Schenectady-Troy, NY	3.4
Albuquerque, NM	44.6
Alexandria, LA	2.1
Allentown-Bethlehem-Easton, PA-NJ	11.3
Altoona, PA	0.7
Amarillo, TX	24.0
Ames, IA	2.2
Anchorage, AK	7.1
Anderson, IN	2.3
Anderson, SC	2.2
Ann Arbor, MI	3.4
Anniston-Oxford, AL	2.3
Appleton, WI	2.7
Asheville, NC	5.1
Athens-Clarke County, GA	6.9
Atlanta-Sandy Springs-Marietta, GA	9.7
Atlantic City-Hammonton, NJ	14.9
Auburn-Opelika, AL	2.1
Augusta-Richmond County, GA-SC	3.1
Austin-Round Rock, TX	30.1
Bakersfield, CA	47.1
Baltimore-Towson, MD	3.3
Bangor, ME	1.0
Barnstable Town, MA	1.8
Baton Rouge, LA	2.6
Battle Creek, MI	4.0
Bay City, MI	4.2
Beaumont-Port Arthur, TX	10.9
Bellingham, WA	6.7
Bend, OR	6.5
Billings, MT	5.0
Binghamton, NY	2.4
Birmingham-Hoover, AL	3.2
Bismarck, ND	1.3
Blacksburg-Christiansburg-Radford, VA	1.7
Bloomington, IN	1.9
Bloomington-Normal, IL	3.5
Boise City-Nampa, ID	11.7
Boston-Cambridge-Quincy, MA-NH	8.1
Boulder, CO	13.4
Bowling Green, KY	3.7
Bradenton-Sarasota-Venice, FL	10.1
Bremerton-Silverdale, WA	4.9
Bridgeport-Stamford-Norwalk, CT	15.4
Brownsville-Harlingen, TX	86.3
Brunswick, GA	4.0
Buffalo-Niagara Falls, NY	3.5
Burlington, NC	11.3
Burlington-South Burlington, VT	1.6
Canton-Massillon, OH	1.2
Cape Coral-Fort Myers, FL	17.5
Carson City, NV	20.1
Casper, WY	6.0
Cedar Rapids, IA	2.1
Champaign-Urbana, IL	3.9
Charleston, WV	1.2
Charleston-North Charleston-Summerville, SC	3.8
Charlotte-Gastonia-Concord, NC-SC	8.9
Charlottesville, VA	3.3
Chattanooga, TN-GA	2.5
Cheyenne, WY	11.7
Chicago-Naperville-Joliet, IL-IN-WI	19.9
Chico, CA	12.9
Cincinnati-Middletown, OH-KY-IN	2.0
Clarksville, TN-KY	5.4
Cleveland, TN	3.2
Cleveland-Elyria-Mentor, OH	4.3
Coeur d'Alene, ID	3.6
College Station-Bryan, TX	20.4
Colorado Springs, CO	13.3
Columbia, MO	2.5
Columbia, SC	3.9
Columbus, GA-AL	4.2
Columbus, IN	4.3
Columbus, OH	3.0
Corpus Christi, TX	56.3
Corvallis, OR	6.1
Cumberland, MD-WV	1.0
Dallas-Fort Worth-Arlington, TX	27.5
Dalton, GA	25.0
Danville, IL	3.8
Danville, VA	2.2
Davenport-Moline-Rock Island, IA-IL	6.9
Dayton, OH	1.8
Decatur, AL	5.0
Decatur, IL	1.4
Deltona-Daytona Beach-Ormond Beach, FL	10.7
Denver-Aurora, CO	22.4
Des Moines-West Des Moines, IA	6.0
Detroit-Warren-Livonia, MI	3.7
Dothan, AL	2.1
Dover, DE	4.5
Dubuque, IA	1.9
Duluth, MN-WI	1.0
Durham, NC	10.1
Eau Claire, WI	1.2
El Centro, CA	76.8
Elizabethtown, KY	3.5
Elkhart-Goshen, IN	14.4
Elmira, NY	2.2
El Paso, TX	81.8
Erie, PA	2.9
Eugene-Springfield, OR	6.4
Evansville, IN-KY	1.4
Fairbanks, AK	6.6
Fargo, ND-MN	2.6
Farmington, NM	17.8
Fayetteville, NC	7.3
Fayetteville-Springdale-Rogers, AR-MO	13.8
Flagstaff, AZ	12.3
Flint, MI	2.5
Florence, SC	1.5
Florence-Muscle Shoals, AL	1.6
Fond du Lac, WI	3.4
Fort Collins-Loveland, CO	10.0
Fort Smith, AR-OK	7.6
Fort Walton Beach-Crestview-Destin, FL	6.0
Fort Wayne, IN	5.4
Fresno, CA	48.7
Gadsden, AL	2.9
Gainesville, FL	7.2
Gainesville, GA	26.3
Glens Falls, NY	2.0
