MSA	Under     5     years	5 to     14     years	15 to     24     years	0-24 years	25 to     34     years	35 to     44     years	45 to     54     years	55 to     64     years	65 years+	65 to     74     years	75 to     84     years	85   years    and    over	White alone	Black or Afr- ican Ameri- can alone	Asian alone	"Ameri- can Indian, Alaska Native alone"	Native Hawai- ian and Other Pacific Islander alone	His-  panic  or Latino ori-   gin \1 (per-  centage)
"Abilene, TX "	7.5	13.1	16.8	37.5	13.3	12.3	13.3	9.6	14.0	7.1	4.7	2.2	89.0	7.1	1.3	0.8	0.1	20.2
"Akron, OH "	5.9	12.8	14.4	33.1	12.2	13.5	15.7	11.9	13.5	6.9	4.7	1.9	84.8	11.9	1.8	0.2	(Z)	1.2
"Albany, GA "	7.1	14.2	15.6	36.9	13.0	12.7	14.0	11.3	12.1	6.5	3.9	1.6	48.0	50.0	0.9	0.3	(Z)	1.6
"Albany-Schenectady-Troy, NY "	5.5	11.6	15.2	32.3	13.2	13.7	15.2	12.1	13.6	6.7	4.8	2.2	87.6	7.6	3.0	0.3	(Z)	3.4
"Albuquerque, NM "	7.4	13.5	13.8	34.7	14.3	13.3	14.3	11.2	12.2	6.4	4.0	1.7	85.8	3.7	2.0	6.2	0.2	44.6
"Alexandria, LA "	7.2	14.0	13.4	34.6	13.8	12.7	14.2	11.1	13.6	7.3	4.5	1.8	68.5	28.8	0.9	0.8	(Z)	2.1
"Allentown-Bethlehem-Easton, PA-NJ "	6.0	12.4	13.2	31.6	12.1	14.1	15.7	11.6	14.9	7.0	5.3	2.5	91.4	4.7	2.4	0.2	0.1	11.3
"Altoona, PA "	5.8	11.5	12.2	29.5	12.7	12.7	15.2	12.6	17.3	8.1	6.4	2.8	97.0	1.6	0.5	0.1	(Z)	0.7
"Amarillo, TX "	8.0	14.4	14.9	37.3	14.4	13.2	13.6	10.1	11.4	5.8	3.9	1.7	89.3	6.4	1.9	0.9	0.1	24.0
"Ames, IA "	5.7	9.8	30.8	46.2	15.0	9.7	10.5	8.3	10.3	4.9	3.5	1.9	90.6	2.3	5.7	0.2	0.1	2.2
"Anchorage, AK "	7.6	13.8	15.0	36.4	15.7	14.3	15.9	10.6	7.2	4.5	2.0	0.7	75.6	5.8	5.3	7.6	1.0	7.1
"Anderson, IN "	6.2	12.3	12.4	31.0	13.0	13.7	14.1	12.4	15.9	8.2	5.4	2.3	89.8	8.3	0.5	0.3	(Z)	2.3
"Anderson, SC "	6.6	13.1	12.2	31.8	13.2	13.4	14.4	12.5	14.7	8.1	4.9	1.8	81.4	16.7	0.7	0.2	(Z)	2.2
"Ann Arbor, MI "	6.0	11.9	20.2	38.1	13.8	14.5	13.7	10.5	9.4	5.2	3.0	1.2	76.9	12.3	8.2	0.4	(Z)	3.4
"Anniston-Oxford, AL "	6.7	12.5	13.9	33.2	12.3	12.7	14.6	12.1	15.1	8.0	5.2	1.9	77.9	19.9	0.7	0.4	0.1	2.3
"Appleton, WI "	6.8	13.6	13.3	33.8	13.2	14.8	15.9	10.6	11.7	6.0	3.9	1.7	94.5	0.8	2.3	1.3	(Z)	2.7
"Asheville, NC "	6.0	11.5	11.5	29.0	12.6	13.4	14.3	12.9	17.9	8.8	6.3	2.8	92.5	5.1	0.8	0.4	(Z)	5.1
"Athens-Clarke County, GA "	6.6	11.7	23.4	41.6	15.6	12.4	11.5	9.1	9.7	5.3	3.1	1.4	76.9	19.1	2.6	0.2	0.1	6.9
"Atlanta-Sandy Springs-Marietta, GA"	7.8	14.7	13.1	35.6	14.4	16.5	14.8	10.3	8.3	4.9	2.4	1.0	62.4	31.5	4.2	0.4	0.1	9.7
"Atlantic City-Hammonton, NJ "	6.5	13.0	12.9	32.4	12.7	14.8	15.6	10.4	14.2	7.2	5.0	2.1	73.7	17.6	6.6	0.3	0.1	14.9
"Auburn-Opelika, AL"	6.1	12.4	25.1	43.6	13.8	12.5	12.3	9.0	8.9	5.1	2.7	1.0	73.8	23.2	1.8	0.2	(Z)	2.1
"Augusta-Richmond County, GA-SC "	7.1	13.7	14.6	35.4	12.8	13.1	14.9	11.6	12.3	6.7	4.1	1.5	60.9	35.6	1.6	0.4	0.1	3.1
"Austin-Round Rock, TX "	8.1	14.1	15.2	37.4	17.0	15.7	13.5	8.9	7.6	4.2	2.4	1.0	85.1	7.8	4.5	0.7	0.1	30.1
"Bakersfield, CA "	9.1	15.7	16.0	40.8	16.8	13.2	12.3	7.9	9.0	4.8	3.0	1.2	85.4	6.4	4.0	1.8	0.2	47.1
"Baltimore-Towson, MD "	6.5	12.9	14.1	33.4	12.8	14.4	15.6	11.5	12.3	6.5	4.1	1.7	65.4	28.8	3.9	0.3	0.1	3.3
"Bangor, ME "	5.6	10.9	15.4	31.8	12.3	13.1	16.1	12.7	13.9	7.4	4.7	1.7	96.3	0.8	0.9	1.0	(Z)	1.0
"Barnstable Town, MA "	4.3	9.6	10.9	24.8	10.8	12.1	15.1	13.2	24.0	10.4	9.4	4.2	94.9	2.2	1.0	0.6	(Z)	1.8
"Baton Rouge, LA "	7.1	14.0	16.5	37.6	14.3	13.3	14.0	10.5	10.3	5.7	3.3	1.3	61.8	35.5	1.6	0.3	(Z)	2.6
"Battle Creek, MI "	6.6	13.1	13.5	33.2	12.7	13.2	14.7	12.0	14.2	7.3	4.8	2.1	85.1	10.4	1.6	0.7	(Z)	4.0
"Bay City, MI "	5.8	12.0	12.8	30.7	12.2	12.7	15.8	13.0	15.6	7.9	5.2	2.5	95.8	1.6	0.6	0.6	(Z)	4.2
"Beaumont-Port Arthur, TX "	6.8	13.2	14.1	34.1	13.7	12.8	14.9	11.1	13.4	6.9	4.7	1.9	71.2	25.2	2.1	0.5	(Z)	10.9
"Bellingham, WA"	5.8	11.8	17.6	35.2	14.6	12.5	13.5	11.5	12.6	6.4	4.4	1.9	89.9	1.1	3.7	2.9	0.2	6.7
"Bend, OR "	6.4	11.9	11.6	29.9	16.0	13.1	14.5	12.4	14.1	7.7	4.7	1.8	95.1	0.7	1.1	1.2	0.1	6.5
"Billings, MT "	6.8	13.0	12.7	32.5	13.0	12.7	15.6	12.2	14.0	7.0	4.7	2.2	92.1	1.3	0.8	3.9	0.1	5.0
"Binghamton, NY "	5.3	11.1	16.0	32.3	12.9	11.5	15.3	11.6	16.3	7.9	5.7	2.7	91.5	3.8	2.9	0.2	(Z)	2.4
"Birmingham-Hoover, AL "	6.9	13.3	13.0	33.3	13.2	13.9	14.9	11.8	12.9	6.9	4.3	1.8	69.6	28.0	1.1	0.3	(Z)	3.2
"Bismarck, ND "	6.5	11.9	15.3	33.6	15.0	11.9	14.7	11.1	13.7	6.6	4.8	2.3	93.8	0.6	0.6	4.0	(Z)	1.3
"Blacksburg-Christiansburg-Radford, VA"	4.8	9.4	27.1	41.3	14.2	11.8	11.1	9.7	11.8	6.4	3.9	1.5	90.7	4.8	3.0	0.2	(Z)	1.7
"Bloomington, IN "	5.4	10.6	23.2	39.2	15.1	12.0	12.2	9.7	11.8	6.1	4.0	1.7	92.6	2.5	3.2	0.3	(Z)	1.9
"Bloomington-Normal, IL "	6.7	12.3	21.8	40.8	14.5	12.7	13.0	9.1	9.9	5.0	3.4	1.5	88.1	7.2	3.0	0.2	(Z)	3.5
"Boise City-Nampa, ID "	8.2	15.3	12.9	36.3	15.5	14.1	13.4	10.2	10.5	5.7	3.3	1.5	93.8	1.4	1.7	1.0	0.2	11.7
"Boston-Cambridge-Quincy, MA-NH "	6.0	12.1	14.0	32.2	12.8	15.2	15.7	11.5	12.7	6.4	4.3	2.0	84.4	7.8	6.0	0.3	0.1	8.1
"Boulder, "	6.0	11.4	16.9	34.3	14.2	14.6	16.2	11.9	8.7	5.1	2.6	1.0	92.5	1.2	3.8	0.8	0.1	13.4
"Bowling Green, KY  "	6.7	12.5	17.0	36.2	15.0	13.1	13.5	10.7	11.6	6.4	3.7	1.5	89.3	8.0	1.2	0.3	0.1	3.7
"Bradenton-Sarasota-Venice, FL  "	5.2	10.0	9.6	24.8	11.2	11.4	13.1	12.6	27.0	11.3	10.3	5.3	90.5	6.7	1.3	0.3	0.1	10.1
"Bremerton-Silverdale, WA  "	6.1	12.7	13.7	32.4	12.8	13.2	15.8	13.3	12.6	6.9	4.0	1.6	85.8	2.8	4.6	1.7	0.8	4.9
"Bridgeport-Stamford-Norwalk, CT  "	6.5	14.0	12.9	33.4	10.2	15.0	16.5	11.6	13.2	6.8	4.4	2.0	83.3	10.7	4.3	0.3	0.1	15.4
"Brownsville-Harlingen, TX  "	11.0	17.9	15.7	44.6	12.8	12.0	10.8	8.3	11.5	5.5	4.2	1.8	96.9	1.2	0.6	0.6	0.1	86.3
"Brunswick, GA  "	6.9	13.5	12.9	33.3	13.4	12.9	14.4	11.8	14.2	7.8	4.7	1.7	74.5	23.3	0.7	0.3	0.1	4.0
"Buffalo-Niagara Falls, NY  "	5.3	11.9	15.0	32.2	11.8	12.7	15.8	12.0	15.5	7.4	5.6	2.6	84.0	12.2	1.7	0.8	(Z)	3.5
"Burlington, NC  "	6.7	13.0	14.0	33.8	12.7	14.4	14.1	11.2	13.8	7.0	4.8	2.0	78.5	18.7	1.2	0.5	(Z)	11.3
"Burlington-South Burlington, VT  "	5.6	12.2	15.8	33.6	12.0	14.7	16.7	12.0	11.0	6.1	3.5	1.4	94.7	1.4	2.0	0.5	(Z)	1.6
"Canton-Massillon, OH  "	5.9	12.5	12.8	31.2	12.1	12.7	15.7	12.7	15.7	7.8	5.5	2.4	90.6	7.0	0.7	0.3	(Z)	1.2
"Cape Coral-Fort Myers, FL  "	6.2	11.2	10.1	27.5	13.1	12.1	12.6	11.7	22.9	10.7	8.6	3.6	89.0	8.0	1.3	0.4	0.1	17.5
"Carson City, NV  "	6.8	12.4	11.9	31.1	12.3	13.5	14.0	12.7	16.4	8.3	5.8	2.3	91.2	2.1	2.2	2.4	0.2	20.1
"Casper, WY  "	7.4	13.2	13.6	34.1	14.4	12.2	15.3	11.5	12.4	6.3	4.4	1.7	95.1	1.5	0.6	1.3	0.1	6.0
"Cedar Rapids, IA  "	6.8	13.4	13.3	33.5	13.5	14.1	14.7	11.0	13.2	6.7	4.4	2.2	93.3	3.2	1.7	0.4	0.1	2.1
"Champaign-Urbana, IL  "	6.1	10.8	25.6	42.5	14.9	11.3	11.7	8.6	10.9	5.4	3.8	1.7	80.8	10.0	7.1	0.3	(Z)	3.9
"Charleston, WV  "	6.1	12.0	10.9	29.1	12.4	13.2	15.9	13.7	15.7	8.3	5.4	2.1	92.4	5.2	0.9	0.3	(Z)	1.2
"Charleston-North Charleston-Summerville, SC  "	7.2	13.1	14.9	35.1	13.4	13.9	14.5	11.9	11.2	6.4	3.4	1.4	67.8	28.6	1.7	0.5	0.1	3.8
"Charlotte-Gastonia-Concord, NC-SC  "	7.9	14.2	13.0	35.0	14.1	16.0	14.5	10.8	9.5	5.4	2.9	1.2	72.1	23.4	2.7	0.5	0.1	8.9
"Charlottesville, VA  "	6.0	11.4	17.5	34.9	14.1	13.2	13.6	10.6	13.6	7.0	4.8	1.8	81.6	13.2	3.5	0.2	(Z)	3.3
"Chattanooga, TN-GA  "	6.2	12.5	13.0	31.7	12.9	13.5	14.9	12.6	14.4	7.7	4.8	1.9	83.3	14.1	1.2	0.3	0.1	2.5
"Cheyenne, WY  "	7.6	13.7	13.1	34.4	13.5	14.0	14.8	11.1	12.2	6.5	3.9	1.8	90.7	4.0	1.4	1.5	0.3	11.7
"Chicago-Naperville-Joliet, IL-IN-WI  "	7.2	14.0	14.1	35.4	13.7	14.6	14.7	10.5	11.1	5.9	3.6	1.6	75.0	17.9	5.3	0.4	0.1	19.9
"Chico, CA  "	5.8	11.2	19.2	36.1	14.8	10.8	12.7	10.6	15.0	6.9	5.3	2.8	88.8	1.7	4.1	2.2	0.2	12.9
"Cincinnati-Middletown, OH-KY-IN  "	7.0	13.7	13.8	34.4	12.9	14.2	15.4	11.0	12.0	6.3	4.0	1.7	84.7	12.2	1.7	0.2	(Z)	2.0
"Clarksville, TN-KY  "	8.3	16.0	14.7	39.0	13.8	14.6	13.0	9.4	10.1	5.7	3.2	1.2	76.8	18.8	1.5	0.5	0.2	5.4
"Cleveland, TN  "	6.4	12.6	12.8	31.8	14.4	13.7	14.1	11.9	14.2	8.1	4.5	1.6	93.8	3.9	0.7	0.3	(Z)	3.2
"Cleveland-Elyria-Mentor, OH  "	6.1	13.0	12.9	32.0	11.3	13.7	16.1	12.2	14.7	7.3	5.0	2.3	76.8	19.8	1.8	0.2	0.1	4.3
"Coeur d'Alene, ID  "	6.4	13.7	12.8	32.9	13.6	13.0	14.1	12.0	14.3	7.6	4.7	2.0	95.6	0.6	0.7	1.3	0.1	3.6
"College Station-Bryan, TX  "	7.2	11.8	29.2	48.2	15.0	10.7	9.9	7.3	9.0	4.6	3.0	1.4	82.6	11.9	3.8	0.4	0.1	20.4
"Colorado Springs, CO  "	7.3	14.1	14.0	35.4	15.0	14.2	15.2	10.5	9.7	5.4	3.1	1.1	85.5	6.8	3.0	1.2	0.3	13.3
"Columbia, MO  "	6.6	11.9	21.5	40.1	15.0	12.7	12.9	9.5	9.8	5.2	3.1	1.5	86.1	8.6	3.0	0.4	(Z)	2.5
"Columbia, SC  "	6.8	12.9	15.7	35.4	12.6	13.9	14.8	12.0	11.2	6.3	3.6	1.4	63.0	33.7	1.6	0.4	0.1	3.9
"Columbus, GA-AL  "	7.5	14.1	15.2	36.9	13.1	13.2	14.1	10.5	12.1	6.4	4.2	1.6	54.4	41.7	1.6	0.4	0.2	4.2
"Columbus, IN  "	7.1	13.8	11.8	32.7	12.4	14.0	14.7	11.9	14.3	7.9	4.6	1.8	93.6	2.1	3.0	0.2	0.1	4.3
"Columbus, OH  "	7.5	13.9	14.0	35.3	14.7	15.0	14.6	10.2	10.2	5.6	3.3	1.3	80.7	14.2	3.2	0.3	0.1	3.0
"Corpus Christi, TX  "	7.7	14.6	14.6	36.9	12.7	12.6	14.3	11.0	12.6	6.6	4.4	1.7	92.5	3.9	1.4	0.9	0.1	56.3
"Corvallis, OR  "	5.0	9.7	23.7	38.3	13.2	10.9	13.7	12.2	11.7	6.0	3.9	1.8	89.8	1.1	5.4	1.0	0.3	6.1
"Cumberland, MD-WV  "	4.9	10.6	15.0	30.6	13.2	13.3	13.8	12.2	17.0	8.4	5.9	2.6	92.8	5.5	0.6	0.2	(Z)	1.0
