MSANECMA	MSANAME	MA_NOTE
0	All MSAs/PMSAs	All Central Cities does not include 1970 data for Irvine, CA, Temecula, CA or Port St. Lucie, FL or 1980 data for Temecula, CA.
40	Abilene, TX MSA	
80	Akron, OH PMSA	
120	Albany, GA MSA	
160	Albany-Schenectady-Troy, NY MSA	
200	Albuquerque, NM MSA	
220	Alexandria, LA MSA	
240	Allentown-Bethlehem-Easton, PA MSA	
280	Altoona, PA MSA	
320	Amarillo, TX MSA	
380	Anchorage, AK MSA	The City of Anchorage consolidated with Anchorage Borough (the metropolitan area) after the 1970 Census.  Thus, Anchorage has no suburbs after 1970.
440	Ann Arbor, MI PMSA	
450	Anniston, AL MSA	
460	Appleton-Oshkosh-Neenah, WI MSA	
480	Asheville, NC MSA	
500	Athens, GA MSA	Athens, GA consolidated with Clarke County, GA in January 1995.
520	Atlanta, GA MSA	
560	Atlantic-Cape May, NJ PMSA	
580	Auburn-Opelika, AL MSA	
600	Augusta-Aiken, GA-SC MSA	
640	Austin-San Marcos, TX MSA	
680	Bakersfield, CA MSA	
720	Baltimore, MD PMSA	
733	Bangor, ME NECMA	
743	Barnstable-Yarmouth, MA NECMA	
760	Baton Rouge, LA MSA	
840	Beaumont-Port Arthur, TX MSA	
860	Bellingham, WA MSA	
870	Benton Harbor, MI MSA	
875	Bergen-Passaic, NJ PMSA	There are no central cities in the Bergen-Passaic, NJ PMSA.
880	Billings, MT MSA	
920	Biloxi-Gulfport-Pascagoula, MS MSA	
960	Binghamton, NY MSA	
1000	Birmingham, AL MSA	
1010	Bismarck, ND MSA	
1020	Bloomington, IN MSA	
1040	Bloomington-Normal, IL MSA	
1080	Boise City, ID MSA	
1123	Boston-Worcester-Lawrence-Lowell-Brockton, MA-NH NECMA	
1125	Boulder-Longmont, CO PMSA	
1145	Brazoria, TX PMSA	There are no central cities in the Brazoria, TX PMSA.
1150	Bremerton, WA PMSA	
1240	Brownsville-Harlingen-San Benito, TX MSA	
1260	Bryan-College Station, TX MSA	
1280	Buffalo-Niagara Falls, NY MSA	
1303	Burlington, VT NECMA	
1320	Canton-Massillon, OH MSA	
1350	Casper, WY MSA	
1360	Cedar Rapids, IA MSA	
1400	Champaign-Urbana, IL MSA	
1440	Charleston-North Charleston, SC MSA	
1480	Charleston, WV MSA	
1520	Charlotte-Gastonia-Rock Hill, NC-SC MSA	
1540	Charlottesville, VA MSA	
1560	Chattanooga, TN-GA MSA	
1580	Cheyenne, WY MSA	
1600	Chicago, IL PMSA	
1620	Chico-Paradise, CA MSA	
1640	Cincinnati, OH-KY-IN PMSA	
1660	Clarksville-Hopkinsville, TN-KY MSA	
1680	Cleveland-Lorain-Elyria, OH PMSA	
1720	Colorado Springs, CO MSA	
1740	Columbia, MO MSA	
1760	Columbia, SC MSA	
1800	Columbus, GA-AL MSA	
1840	Columbus, OH MSA	
