msa04	mmurd04	mrape04	mrobt04	mrobg04	massg04	massa04	mburg04	mlarc04	mmoto04	mpop04	mpopcm04	mpopg304	mpopl304	mpoprp04	mpopgn04	mpopna04	mct04	mctna04	mctcm04	mctg304	mctl304	mrmurd04	mrrobt04	mrassa04	mrburg04	mrlarc04	mrmoto04	mrrape04	mrrobg04	mrassg04
0	13908.6617	74418.38256	377121.6345	126884.7112	124401.5941	719913.064	1731722.98	5751404.282	1126949.411	236380407	220591656	4342328	4289523	225535087	202186298	7156900	7590	497	6057	414	622	6.1	164.5	314.1	755.5	2509.1	491.6	33	62.8	61.5
40	6	58	181	52	102	272	1832	4069	293	133076	133076	0	0	133076	133076	0	5	0	5	0	0	4.5	136	204.4	1376.7	3057.7	220.2	43.6	39.1	76.6
80	26.53716278	320.7656849	787.2929213	208.9971727	145.9981151	771.7979899	5318.532028	18021.50751	2199.651542	703067	583419	84074	35574	703067	583419	0	32	0	23	4	5	3.8	112	109.8	756.5	2563.3	312.9	45.6	35.8	25
120	5	55	234.6	90	81	295.6	1827.145455	4202.709091	417.6	126161	105477	20684	0	126161	105477	0	5	0	3	2	0	4	186	234.3	1448.3	3331.2	331	43.6	85.3	76.8
160	30.03713366	219.1269218	822.3280743	191	175	1812.310162	4562.292586	17460.05181	1394.203992	891730	862520	27557	1653	891730	862520	0	42	0	39	2	1	3.4	92.2	203.2	511.6	1958	156.3	24.6	22.1	20.3
200	65.44631561	357.7461855	1398.736788	630	957	4692.128685	7389.150821	25011.68534	4948.21632	759510	751397	1020	7093	759510	751397	0	15	0	12	2	1	8.6	184.2	617.8	972.9	3293.1	651.5	47.1	83.8	127.4
220	11.62442207	38.89412309	217.8290352	107	264	1060.624782	1963.615381	4663.874499	440.5748998	127945	119126	200	8619	127945	119126	0	9	0	3	1	5	9.1	170.3	829	1534.7	3645.2	344.3	30.4	89.8	221.6
240	24.27090269	179.1249042	650.3631493	189.6983444	105	1062.632537	3329.244268	14469.40416	1306.371772	660994	574344	2562	84088	660994	574344	0	53	0	37	1	15	3.7	98.4	160.8	503.7	2189	197.6	27.1	33	18.3
280	3.318781935	37.37586301	90.76597834	24	16	166.9711258	693.5628791	1969.111665	184.0409427	127595	108944	6847	11804	127595	108944	0	13	0	7	2	4	2.6	71.1	130.9	543.6	1543.3	144.2	29.3	22	14.7
320	12	86	382	98	215	1038	2522	8874	1033	228442	228442	0	0	228442	228442	0	5	0	5	0	0	5.3	167.2	454.4	1104	3884.6	452.2	37.6	42.9	94.1
380	15	265	339	113	176	1692	1597	8242	1108	286671	286671	0	0	286671	286671	0	3	0	3	0	0	5.2	118.3	590.2	557.1	2875.1	386.5	92.4	39.4	61.4
