"msa","name_msa","fipstate","fipscty","name_county"
"10100","Aberdeen, SD Micro Area","46","013","Brown County, South Dakota"
"10100","Aberdeen, SD Micro Area","46","045","Edmunds County, South Dakota"
"10140","Aberdeen, WA Micro Area","53","027","Grays Harbor County, Washington"
"10180","Abilene, TX Metro Area","48","059","Callahan County, Texas"
"10180","Abilene, TX Metro Area","48","253","Jones County, Texas"
"10180","Abilene, TX Metro Area","48","441","Taylor County, Texas"
"10220","Ada, OK Micro Area","40","123","Pontotoc County, Oklahoma"
"10300","Adrian, MI Micro Area","26","091","Lenawee County, Michigan"
"10420","Akron, OH Metro Area","39","133","Portage County, Ohio"
"10420","Akron, OH Metro Area","39","153","Summit County, Ohio"
"10460","Alamogordo, NM Micro Area","35","035","Otero County, New Mexico"
"10500","Albany, GA Metro Area","13","007","Baker County, Georgia"
"10500","Albany, GA Metro Area","13","095","Dougherty County, Georgia"
"10500","Albany, GA Metro Area","13","177","Lee County, Georgia"
"10500","Albany, GA Metro Area","13","273","Terrell County, Georgia"
"10500","Albany, GA Metro Area","13","321","Worth County, Georgia"
"10540","Albany, OR Metro Area","41","043","Linn County, Oregon"
"10580","Albany-Schenectady-Troy, NY Metro Area","36","001","Albany County, New York"
"10580","Albany-Schenectady-Troy, NY Metro Area","36","083","Rensselaer County, New York"
"10580","Albany-Schenectady-Troy, NY Metro Area","36","091","Saratoga County, New York"
"10580","Albany-Schenectady-Troy, NY Metro Area","36","093","Schenectady County, New York"
"10580","Albany-Schenectady-Troy, NY Metro Area","36","095","Schoharie County, New York"
"10620","Albemarle, NC Micro Area","37","167","Stanly County, North Carolina"
"10660","Albert Lea, MN Micro Area","27","047","Freeborn County, Minnesota"
"10700","Albertville, AL Micro Area","01","095","Marshall County, Alabama"
"10740","Albuquerque, NM Metro Area","35","001","Bernalillo County, New Mexico"
"10740","Albuquerque, NM Metro Area","35","043","Sandoval County, New Mexico"
"10740","Albuquerque, NM Metro Area","35","057","Torrance County, New Mexico"
"10740","Albuquerque, NM Metro Area","35","061","Valencia County, New Mexico"
"10780","Alexandria, LA Metro Area","22","043","Grant Parish, Louisiana"
"10780","Alexandria, LA Metro Area","22","079","Rapides Parish, Louisiana"
"10820","Alexandria, MN Micro Area","27","041","Douglas County, Minnesota"
"10860","Alice, TX Micro Area","48","249","Jim Wells County, Texas"
"10900","Allentown-Bethlehem-Easton, PA-NJ Metro Area","34","041","Warren County, New Jersey"
"10900","Allentown-Bethlehem-Easton, PA-NJ Metro Area","42","025","Carbon County, Pennsylvania"
"10900","Allentown-Bethlehem-Easton, PA-NJ Metro Area","42","077","Lehigh County, Pennsylvania"
"10900","Allentown-Bethlehem-Easton, PA-NJ Metro Area","42","095","Northampton County, Pennsylvania"
